gene,SchleicherMoldovan2020.NT1-VE822,DeWeirdtDoench2020_secondary.pDNA_pDNA-Control_S63845,VermaGreenberg2021.CAPAN1_T7_UT-CAPAN1_T7_OLA,BenslimaneHarrington2020_jurkat.DMSO_D12-Resveratrol_D12,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_Camp_1,VermaGreenberg2021.SUM149PT_T7_UT-SUM149PT_T7_OLA,SuChen2020.HCT116_WT_T0_2-HCT116_WT_Olap_2,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_MitoC_1,WeegenLuijsterburg2021.wt_illudins-elof1_illudins,DeWeirdtDoench2020_secondary.pDNA_pDNA-MCL1KO_anchor_Dropout,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_HU_1,WeegenLuijsterburg2021.elof1_init-elof1_nt_both,SuChen2020.HEK293A_WT_T0_1-HEK293A_WT_Camp_1,SuChen2020.HCT116_WT_DMSO_2-HCT116_WT_Olap_2,SuChen2020.HCT116_TP53ko_T0_2-HCT116_TP53ko_DMSO_2,DeWeirdtDoench2020_secondary.Control_Dropout-Control_S63845,SuChen2020.HEK293A_WT_T0_1-HEK293A_WT_CHK1i_1,GalloDurocher2022_TKOv2.WT_T18-CCNE1_T18,DeWeirdtDoench2020_secondary.Control_Dropout-MCL1KO_anchor_Dropout,GalloDurocher2022_TKOv2.WT_T0-WT_T18
RNASEH2B,0.377,,,0.314,0.157,,0.455,0.341,0.983,,0.00906,0.546,0.494,0.097,0.712,,0.666,2.0900000000000002e-22,,0.434
UBE2M,0.91,,,0.12,,,,,1.0,,,0.139,,,,,,3.8300000000000004e-43,,0.721
FANCB,0.376,,,0.819,0.0224,,0.546,0.195,0.891,,0.322,0.611,0.288,0.109,0.825,,0.635,0.731,,0.453
NF2,0.973,1.0,,0.0823,,,,,0.685,0.987,,1.0,,,,0.999,,0.127,6.79e-12,1.0
FANCF,0.199,,,0.515,0.000636,,0.00612,2.66e-05,0.0872,,0.478,0.541,0.0369,1.12e-05,0.62,,0.436,0.845,,0.448
NBN,0.602,0.735,,0.106,0.345,,0.494,0.829,0.851,0.644,0.331,0.487,0.489,0.251,0.689,0.564,0.588,0.575,0.134,0.435
AUNIP,0.124,,,0.643,,,,,0.962,,,0.548,,,,,,0.582,,0.41
BLM,0.375,,,0.706,0.512,,0.461,0.043,0.991,,0.793,0.592,0.312,0.662,0.34,,0.251,8.07e-05,,0.473
CHD1L,0.494,0.623,0.0128,0.561,,0.000107,,,0.787,0.598,,0.639,,,,0.667,,0.295,0.45,0.679
RMI2,0.122,,,0.873,0.0892,,0.547,0.138,0.226,,0.302,0.656,0.196,0.602,0.557,,0.219,0.0036,,0.58
XRCC1,0.64,0.506,,0.422,0.0335,,0.196,0.83,1.0,0.573,0.314,0.647,0.137,0.0162,0.727,0.064,0.407,0.00317,0.547,0.311
INTS10,0.944,,,0.027,,,,,1.0,,,0.111,,,,,,0.343,,0.77
INTS14,0.54,,,0.138,,,,,0.981,,,0.329,,,,,,0.607,,0.824
TAOK1,0.263,0.998,,0.0711,,,,,0.511,0.997,,0.967,,,,0.995,,2.05e-09,0.239,0.999
AHR,0.547,,,0.159,,,,,0.0461,,,0.998,,,,,,0.131,,1.0
GABRA3,0.894,,,0.578,,,,,0.0859,,,0.76,,,,,,0.56,,0.726
RMI1,0.919,,,0.778,0.259,,0.574,0.108,0.994,,0.497,0.463,0.411,0.695,0.433,,0.51,0.0815,,0.382
FANCD2,0.0196,,,0.413,0.00966,,0.21,0.034,0.622,,0.612,0.494,0.0437,0.0742,0.652,,0.32,0.512,,0.229
CYRIB,0.977,,,0.819,,,,,0.935,,,0.804,,,,,,0.000156,,0.996
FANCI,0.486,,,0.85,0.125,,0.369,0.0363,0.774,,0.157,0.602,0.428,0.081,0.646,,0.621,0.0467,,0.946
WDR48,0.0557,,,0.375,0.4,,0.392,0.243,0.0686,,0.823,0.552,0.46,0.244,0.743,,0.664,0.749,,0.545
KCTD17,0.904,,,0.843,,,,,0.362,,,0.506,,,,,,0.734,,0.557
APEX1,0.114,,,0.946,0.6,,0.912,0.6,0.847,,0.627,0.68,0.688,0.984,0.708,,0.695,0.0479,,0.476
FAAP100,0.394,0.52,,0.35,0.0268,,0.0903,0.0116,0.849,0.372,0.311,0.65,0.0931,0.0102,0.639,0.633,0.229,0.773,0.114,0.317
C7orf26,0.207,0.204,,,,,,,,0.138,,,,,,0.923,,0.997,0.54,0.0593
C16orf72,0.927,,,,,,,,,,,,,,,,,7.03e-05,,0.922
EXOC5,0.134,,,0.144,,,,,0.884,,,0.0835,,,,,,0.691,,0.0207
PPP1R12A,0.0359,,,0.623,,,,,0.995,,,0.00878,,,,,,0.0105,,3.16e-05
CAB39,0.627,,,0.249,,,,,0.963,,,0.943,,,,,,8.95e-15,,1.0
CUL3,0.632,0.999,,0.649,0.822,,0.459,0.38,1.0,0.952,0.347,0.573,0.477,0.399,0.761,1.0,0.125,1.37e-18,8.66e-08,0.857
EXT1,2.4e-06,,,0.109,,,,,0.542,,,0.604,,,,,,0.00955,,0.809
COPS8,0.183,,,0.0383,,,,,0.94,,,0.0512,,,,,,0.00154,,0.186
RAD18,0.561,,,0.899,0.208,,0.744,0.0322,1.0,,0.517,0.622,0.512,0.397,0.729,,0.589,0.044,,0.589
RNASEH2A,0.296,,,0.136,,,,,0.999,,,0.456,,,,,,4.03e-15,,0.334
RAP2B,0.642,,,0.914,,,,,0.213,,,0.751,,,,,,0.276,,0.772
COPS4,0.952,,,0.815,,,,,0.953,,,0.0355,,,,,,0.000165,,0.267
HELQ,0.0139,,,0.662,0.137,,0.451,0.000883,0.212,,0.547,0.56,0.456,0.124,0.673,,0.753,0.479,,0.618
APEX2,0.739,,,0.0208,0.692,,0.119,0.944,1.0,,0.317,0.139,0.763,0.277,0.414,,0.644,0.241,,0.369
ETAA1,0.0225,,,0.191,0.000373,,0.252,0.000907,0.841,,0.00183,0.302,0.102,0.0847,0.597,,0.637,0.0476,,0.857
EP300,0.319,0.809,0.75,0.621,,0.0656,,,0.969,0.792,,0.486,,,,0.315,,0.787,0.235,0.605
IRF2,0.534,,,0.421,,,,,0.975,,,0.811,,,,,,0.089,,0.541
TRAIP,0.849,,,0.635,,,,,0.994,,,0.0231,,,,,,0.0623,,0.00248
DDIAS,0.497,,,0.471,,,,,0.726,,,0.612,,,,,,0.962,,0.275
EXO1,0.982,,,0.349,0.54,,0.552,0.61,1.0,,0.146,0.675,0.651,0.206,0.794,,0.681,0.148,,0.486
DSCC1,0.638,,,0.297,,,,,0.998,,,0.243,,,,,,1.74e-16,,0.196
NRP1,0.97,,,0.442,,,,,0.934,,,0.96,,,,,,0.705,,0.918
UBE2H,0.612,,,0.027,,,,,0.0146,,,0.263,,,,,,0.801,,0.254
GABPB1,0.395,,,0.71,,,,,0.993,,,0.134,,,,,,0.0482,,0.0334
TMED2,0.67,,,0.0135,,,,,0.998,,,0.213,,,,,,0.154,,0.607
RNF215,0.432,0.815,,0.442,,,,,0.745,0.818,,0.489,,,,0.594,,0.907,0.434,0.325
COPS3,0.0139,,,0.318,,,,,0.92,,,0.0164,,,,,,0.00388,,0.0769
PDCD10,0.691,0.977,,0.00183,,,,,0.0139,0.973,,0.958,,,,0.847,,1.46e-08,0.24,0.999
SLC25A28,0.0957,,,0.708,,,,,0.97,,,0.0635,,,,,,0.258,,0.0514
LMNB1,0.662,,,0.00444,,,,,0.219,,,0.0377,,,,,,0.0032,,0.18
THSD4,0.588,,,0.737,,,,,0.149,,,0.68,,,,,,0.293,,0.584
FZR1,0.00396,,,0.288,,,,,0.981,,,0.472,,,,,,0.0401,,0.0949
CENPX,0.32,,,0.237,,,,,0.547,,,0.635,,,,,,0.0399,,0.449
BTAF1,0.861,,,0.724,,,,,0.986,,,0.0108,,,,,,0.0481,,0.553
POLE3,0.733,,,0.885,0.00012,,0.0352,0.0111,0.695,,0.0696,0.446,0.0224,0.00286,0.585,,0.225,0.00188,,0.562
RBBP8,0.451,,,0.328,0.155,,0.428,0.114,0.964,,0.295,0.0741,0.17,0.33,0.436,,0.367,0.692,,0.111
SLX9,0.895,,,0.443,,,,,0.582,,,0.757,,,,,,0.0295,,0.359
ULK3,0.315,,,0.132,,,,,0.531,,,0.788,,,,,,0.0446,,0.783
IL27RA,0.799,,,0.495,,,,,0.733,,,0.459,,,,,,0.169,,0.737
SIVA1,0.534,,,0.523,,,,,0.634,,,0.373,,,,,,0.95,,0.135
UBE2K,0.0994,0.813,,0.647,,,,,0.992,0.874,,0.833,,,,0.0813,,0.0343,0.527,0.81
ACTB,0.79,,,0.848,,,,,0.471,,,0.211,,,,,,3.72e-20,,0.912
PPP1R3G,0.61,,,0.695,,,,,0.172,,,0.695,,,,,,0.974,,0.234
PHIP,0.588,,0.0722,0.393,,0.32,,,0.0477,,,0.583,,,,,,0.946,,0.209
TMEM209,0.424,,,0.642,,,,,0.0278,,,0.352,,,,,,0.183,,0.323
SERTAD2,0.683,,,0.44,,,,,0.255,,,0.514,,,,,,0.311,,0.766
RB1CC1,0.846,0.682,,0.215,,,,,0.978,0.643,,0.82,,,,0.568,,0.329,0.318,0.877
MMRN2,0.357,,,0.212,,,,,0.571,,,0.505,,,,,,0.763,,0.486
WDR26,0.896,0.145,,0.00028,,,,,0.0538,0.186,,0.321,,,,0.204,,0.821,0.727,0.243
RALGAPB,0.0233,,,0.746,,,,,0.877,,,0.813,,,,,,0.00523,,0.953
LCMT1,0.523,,,0.847,,,,,0.97,,,0.597,,,,,,0.948,,0.535
PLXNA1,0.656,,,0.53,,,,,0.578,,,0.848,,,,,,0.0685,,0.943
POLA2,0.83,,,0.804,,,,,0.49,,,0.000642,,,,,,1.4e-05,,0.0459
MRPS18C,0.255,,,0.0768,,,,,0.935,,,0.473,,,,,,0.332,,0.307
GLE1,0.988,,,0.451,,,,,0.605,,,0.0143,,,,,,0.581,,0.0174
NXT1,0.28,,,0.918,,,,,0.845,,,0.905,,,,,,0.0861,,0.904
BRAP,0.447,,,0.649,,,,,0.921,,,0.445,,,,,,0.214,,0.555
NKTR,0.257,,,0.411,,,,,0.995,,,0.858,,,,,,0.72,,0.418
TAPT1,0.0674,,,0.962,,,,,0.925,,,0.316,,,,,,0.549,,0.161
CCNC,0.953,0.737,,0.948,,,,,0.988,0.626,,0.338,,,,0.942,,1.0,0.244,0.805
CTDSPL2,0.0324,,,0.671,,,,,1.0,,,0.64,,,,,,9.2e-06,,0.694
SLC6A8,0.892,,,0.722,,,,,0.753,,,0.291,,,,,,0.648,,0.399
ARMS2,0.767,,,0.00125,,,,,0.621,,,0.661,,,,,,0.0169,,0.725
ZBTB11,0.552,,,0.128,,,,,0.973,,,0.0026,,,,,,0.153,,0.000152
ARHGAP9,0.435,,,0.434,,,,,0.324,,,0.449,,,,,,0.0524,,0.717
LINC02905,,,,0.782,,,,,0.587,,,0.61,,,,,,0.108,,0.962
HELLS,0.784,0.635,0.0161,0.421,,0.875,,,0.75,0.644,,0.557,,,,0.62,,0.0172,0.56,0.404
GABPA,0.487,,,0.409,,,,,0.915,,,0.122,,,,,,0.466,,0.0308
OTUD7A,0.544,,,0.546,,,,,0.64,,,0.758,,,,,,0.214,,0.524
DND1,0.909,,,0.295,,,,,0.499,,,0.143,,,,,,0.939,,0.182
PRRT2,0.267,,,0.937,,,,,0.0817,,,0.692,,,,,,0.443,,0.858
MAP4K4,0.648,,,0.908,,,,,0.919,,,0.814,,,,,,0.0483,,0.985
FAM47E-STBD1,0.361,,,0.0895,,,,,0.56,,,0.622,,,,,,0.5,,0.709
KRT13,0.289,,,0.000426,,,,,0.19,,,0.553,,,,,,0.577,,0.701
USP9X,0.0153,,,0.0936,,,,,0.583,,,0.546,,,,,,0.539,,0.659
BICC1,0.25,,,0.921,,,,,0.621,,,0.6,,,,,,0.598,,0.712
SGTA,0.844,,,0.414,,,,,0.0616,,,0.535,,,,,,0.321,,0.518
CHP2,0.52,,,1.31e-05,,,,,0.397,,,0.659,,,,,,0.0528,,0.484
NAA38,0.704,,,0.749,,,,,0.8,,,0.000224,,,,,,0.712,,2.41e-05
GPS1,0.0151,,,0.207,,,,,0.927,,,0.00384,,,,,,0.218,,0.0777
GFRAL,0.778,,,0.714,0.593,,0.835,0.69,0.44,,0.24,0.625,0.829,0.663,0.758,,0.817,0.783,,0.555
CLSPN,0.462,,,0.79,,,,,0.677,,,0.0713,,,,,,0.208,,0.11
NPIPB5,0.748,,,0.215,,,,,0.34,,,0.655,,,,,,0.913,,0.422
PCBP1,0.962,,,0.517,,,,,1.0,,,0.163,,,,,,0.604,,0.0117
ACTG1,0.956,,,0.946,,,,,0.686,,,0.214,,,,,,1.8e-21,,0.865
DCTPP1,0.746,,,0.371,,,,,0.178,,,0.469,,,,,,0.605,,0.744
EIF2AK4,0.0749,,,0.994,,,,,0.999,,,0.481,,,,,,1.19e-05,,0.538
PGD,0.913,0.118,,0.484,,,,,0.852,0.137,,0.193,,,,0.569,,0.0271,0.819,0.354
SPON2,0.356,,,0.623,,,,,0.697,,,0.494,,,,,,0.832,,0.932
ARIH2,0.182,,,0.962,,,,,0.77,,,0.797,,,,,,0.1,,0.906
NR2C1,0.436,,,0.985,,,,,0.952,,,0.624,,,,,,0.591,,0.705
HSP90B1,0.938,,,0.411,,,,,0.213,,,0.23,,,,,,0.873,,0.00334
ABHD15,0.675,,,0.423,,,,,0.686,,,0.416,,,,,,0.647,,0.468
KCTD5,0.916,,,0.878,,,,,0.162,,,0.971,,,,,,0.101,,0.963
DIO2,0.462,,,0.236,,,,,0.445,,,0.626,,,,,,0.546,,0.461
RAB34,0.195,,,0.703,,,,,0.646,,,0.263,,,,,,0.0686,,0.491
KCTD10,0.859,0.876,,0.0458,,,,,0.378,0.745,,0.717,,,,0.752,,0.209,0.0211,0.545
SNAPC3,0.179,,,0.154,,,,,0.827,,,7.38e-06,,,,,,0.325,,0.00113
SERF2,0.00226,,,0.442,,,,,0.856,,,0.685,,,,,,0.187,,0.515
CNOT6L,0.362,,,0.588,,,,,0.942,,,0.572,,,,,,0.586,,0.467
OR10H4,0.163,,,0.247,,,,,0.685,,,0.622,,,,,,0.737,,0.468
PPM1B,0.256,,,0.394,,,,,0.586,,,0.632,,,,,,0.673,,0.802
THEMIS2,0.00207,0.753,,0.913,,,,,0.376,0.747,,0.481,,,,0.477,,0.778,0.378,0.391
DHRS13,0.623,,,0.552,,,,,0.00252,,,0.578,,,,,,0.113,,0.557
TRIP4,0.506,,,0.259,0.552,,0.783,0.35,0.172,,0.244,0.641,0.847,0.674,0.72,,0.901,0.315,,0.897
PTPN14,0.569,0.957,,0.481,,,,,0.144,0.966,,0.928,,,,0.929,,0.559,0.618,0.961
RRS1,0.424,,,0.13,,,,,0.861,,,0.000428,,,,,,0.453,,0.00149
ZMIZ1,0.783,,,0.249,,,,,0.296,,,0.434,,,,,,0.000352,,0.696
PEF1,0.169,,,0.764,,,,,0.495,,,0.371,,,,,,0.578,,0.601
MERTK,0.82,,,0.237,,,,,0.297,,,0.591,,,,,,0.763,,0.674
KAT7,0.562,,0.658,0.12,,0.514,,,0.941,,,0.519,,,,,,0.00278,,0.419
AMPH,0.96,,,0.708,,,,,0.458,,,0.776,,,,,,0.339,,0.765
SPNS3,0.463,,,0.0629,,,,,0.411,,,0.584,,,,,,0.416,,0.744
TGM7,0.832,,,0.0158,,,,,0.625,,,0.7,,,,,,0.139,,0.661
VPS72,0.318,,,0.152,,,,,0.94,,,0.0509,,,,,,0.73,,0.0762
USP34,0.0477,,,0.737,,,,,0.224,,,0.54,,,,,,0.294,,0.599
CNOT4,0.112,0.478,,0.0438,,,,,0.00584,0.357,,0.788,,,,0.329,,0.0203,0.11,0.88
GRPR,0.278,,,0.936,,,,,0.252,,,0.616,,,,,,0.185,,0.729
FEN1,0.809,,,0.626,0.523,,0.0808,0.837,0.964,,0.657,0.143,0.16,0.336,0.195,,0.0445,0.000124,,0.0357
SPATA5L1,1.0,,,0.948,,,,,0.969,,,0.0122,,,,,,0.227,,0.000226
INTS13,0.0109,,,0.0383,,,,,0.999,,,0.0544,,,,,,0.938,,0.323
TCF7L2,0.592,,,0.432,,,,,0.495,,,0.756,,,,,,0.0298,,0.734
NFYB,0.679,,,0.648,,,,,0.921,,,0.502,,,,,,0.181,,0.631
SLF1,0.0691,,,0.911,,,,,0.953,,,0.585,,,,,,0.0336,,0.722
SNAPC5,0.474,,,0.408,,,,,0.988,,,0.235,,,,,,0.0868,,0.791
CTNS,0.656,,,0.281,,,,,0.71,,,0.628,,,,,,0.0993,,0.96
EAPP,0.975,,,0.94,,,,,0.975,,,0.309,,,,,,0.775,,0.0478
ARFRP1,0.0682,0.0504,,0.865,,,,,0.58,0.0808,,0.00715,,,,0.53,,0.7,0.919,1.39e-08
MTSS2,0.664,,,0.173,,,,,0.41,,,0.607,,,,,,0.453,,0.293
HUS1,0.0877,,,1.77e-09,0.394,,0.0984,0.256,0.977,,0.125,0.115,0.133,0.313,0.156,,0.13,0.0213,,0.102
HSPA4,0.575,,,0.477,,,,,0.903,,,0.663,,,,,,0.996,,0.534
NAE1,0.748,,,0.891,,,,,0.811,,,0.109,,,,,,1.03e-09,,0.344
SEC13,0.963,,,0.0206,,,,,0.528,,,0.00162,,,,,,0.254,,2.47e-06
GPR39,0.845,,,0.442,,,,,0.198,,,0.622,,,,,,0.862,,0.0891
LIG1,0.762,0.483,,0.646,0.997,,0.281,0.951,0.91,0.419,0.945,0.549,0.962,0.0973,0.681,0.448,0.775,0.693,0.288,0.643
B4GALT7,0.943,,,0.946,,,,,0.143,,,0.376,,,,,,0.00313,,0.313
AASDH,0.876,0.577,,0.741,,,,,0.673,0.536,,0.72,,,,0.545,,0.21,0.351,0.831
CACNA1S,0.778,,,0.525,,,,,0.314,,,0.438,,,,,,0.535,,0.571
ENC1,0.0573,,,0.764,,,,,0.558,,,0.738,,,,,,0.216,,0.704
PCGF1,0.548,,,0.969,,,,,0.891,,,0.941,,,,,,0.982,,0.842
RASGEF1C,0.0923,,,0.563,,,,,0.475,,,0.591,,,,,,0.675,,0.619
MCPH1,0.696,,,0.355,,,,,0.864,,,0.206,,,,,,0.63,,0.359
RAB11FIP3,0.737,,,0.835,,,,,0.602,,,0.7,,,,,,0.928,,0.477
PIMREG,0.293,,,0.648,,,,,0.827,,,0.527,,,,,,0.505,,0.515
CFL1,0.876,,,0.962,,,,,0.662,,,0.447,,,,,,0.0687,,0.602
RUNX1,0.647,,,0.932,,,,,0.0245,,,0.963,,,,,,0.000826,,0.938
OR9K2,0.957,,,0.137,,,,,0.696,,,0.592,,,,,,0.42,,0.808
LIG3,0.0813,,,0.731,0.273,,0.0857,0.799,0.835,,0.76,0.601,0.242,0.045,0.471,,0.439,0.15,,0.236
LATS2,0.459,,,0.0878,,,,,3.04e-05,,,0.871,,,,,,0.0374,,0.959
MED17,0.723,,,0.758,,,,,0.961,,,0.00117,,,,,,0.631,,0.0443
PUM1,0.48,,,0.956,,,,,0.992,,,0.4,,,,,,0.0746,,0.58
KRT36,0.272,,,0.925,,,,,0.565,,,0.606,,,,,,0.909,,0.732
CTNNB1,0.312,,,0.51,,,,,0.477,,,0.554,,,,,,0.716,,0.217
THBS1,,,,0.544,,,,,0.213,,,0.491,,,,,,0.0478,,0.86
PDIA6,0.854,,,0.398,,,,,0.372,,,0.682,,,,,,0.35,,0.811
THSD7B,0.777,,,0.0674,,,,,0.529,,,0.582,,,,,,0.159,,0.699
MGAT3,0.821,,,0.0342,,,,,0.0907,,,0.547,,,,,,0.893,,0.482
THADA,0.0373,,,0.404,,,,,0.602,,,0.65,,,,,,0.315,,0.63
RINT1,0.399,,,0.0927,,,,,0.345,,,0.0467,,,,,,0.333,,0.102
GALNT15,0.299,,,0.523,,,,,0.351,,,0.54,,,,,,0.852,,0.368
NUFIP1,0.697,,,0.234,,,,,0.894,,,0.0158,,,,,,0.121,,0.142
RIC8B,0.0599,,,0.57,,,,,0.648,,,0.808,,,,,,0.606,,0.76
USH1G,0.147,,,0.472,,,,,0.0653,,,0.444,,,,,,0.685,,0.449
TNFSF15,0.314,,,0.401,,,,,0.084,,,0.605,,,,,,0.534,,0.928
PRPF4,0.94,,,0.507,,,,,0.679,,,6.8e-06,,,,,,0.554,,0.00831
DCTN5,0.0622,0.0114,,0.323,,,,,0.804,0.0189,,0.00132,,,,0.286,,0.439,0.845,0.00651
SMYD5,0.425,,0.897,0.266,,0.762,,,0.482,,,0.697,,,,,,0.189,,0.617
ARF6,0.0382,,,0.744,,,,,0.535,,,0.637,,,,,,0.169,,0.496
ZNF589,0.0113,,,0.741,,,,,0.834,,,0.628,,,,,,0.263,,0.515
EFCAB13,0.668,,,0.0719,,,,,0.4,,,0.556,,,,,,0.4,,0.303
IKBKB,0.595,0.845,,0.457,,,,,0.743,0.87,,0.694,,,,0.732,,0.44,0.613,0.777
MCM10,0.0072,,,0.604,,,,,0.814,,,0.0439,,,,,,0.182,,0.278
ZNRF4,0.14,,,0.00841,,,,,0.0184,,,0.696,,,,,,0.834,,0.546
ZNF280A,0.382,,,0.599,,,,,0.825,,,0.683,,,,,,0.598,,0.619
STK31,0.129,,,0.982,,,,,0.791,,,0.619,,,,,,0.648,,0.775
UFD1,0.0788,,,0.43,,,,,0.967,,,0.0157,,,,,,0.139,,0.0089
GRWD1,0.69,,,0.947,,,,,0.995,,,0.0192,,,,,,0.318,,0.0465
RGL4,0.889,,,0.149,,,,,0.202,,,0.599,,,,,,0.961,,0.323
ZNF85,0.173,,,0.874,,,,,0.586,,,0.471,,,,,,0.755,,0.328
NEBL,0.232,,,0.314,,,,,0.379,,,0.707,,,,,,0.317,,0.779
MYRFL,,,,0.852,,,,,0.373,,,0.541,,,,,,0.688,,0.559
TOMM70,0.615,0.476,,0.0493,,,,,0.405,0.71,,0.306,,,,0.0731,,0.166,0.963,0.269
WIPF2,0.222,,,0.791,,,,,0.0401,,,0.408,,,,,,0.721,,0.492
WARS1,0.64,,,0.513,,,,,0.968,,,0.0271,,,,,,0.327,,0.0195
FAM214A,0.824,,,,,,,,,,,,,,,,,0.494,,0.854
MAST3,0.109,,,0.353,,,,,0.297,,,0.471,,,,,,0.175,,0.689
FAHD1,0.728,,,0.91,,,,,0.436,,,0.634,,,,,,0.164,,0.774
CRTC3,0.875,,,0.0988,,,,,0.377,,,0.762,,,,,,0.939,,0.712
C2orf15,0.218,,,0.273,,,,,0.597,,,0.59,,,,,,0.499,,0.57
CHD3,0.4,,0.693,0.765,,0.743,,,0.525,,,0.576,,,,,,0.36,,0.918
LYPD5,0.159,,,0.355,,,,,0.346,,,0.578,,,,,,0.782,,0.533
NANOG,0.696,,,0.488,,,,,0.19,,,0.777,,,,,,0.894,,0.398
RRP7A,0.288,,,0.906,,,,,0.477,,,0.00253,,,,,,0.841,,5.59e-05
HEATR5A,0.178,,,0.889,,,,,0.457,,,0.631,,,,,,0.937,,0.177
SNRNP70,0.573,,,0.615,,,,,0.942,,,0.00803,,,,,,0.776,,0.0174
NUP58,0.302,,,0.548,,,,,0.881,,,0.0327,,,,,,0.402,,0.207
ANXA7,0.951,,,0.676,,,,,0.318,,,0.515,,,,,,0.273,,0.65
ZMYND12,0.298,0.562,,0.536,,,,,0.128,0.546,,0.678,,,,0.741,,0.216,0.536,0.549
KRTAP10-10,0.698,,,0.753,,,,,0.2,,,0.75,,,,,,0.444,,0.775
SIN3B,0.923,,,0.0887,,,,,0.0627,,,0.482,,,,,,0.845,,0.592
TRMT10A,0.946,,,0.0333,,,,,0.347,,,0.581,,,,,,0.195,,0.597
MSGN1,0.738,,,0.146,,,,,0.865,,,0.617,,,,,,0.385,,0.531
DKC1,0.8,0.0375,,1.0,,,,,0.99,0.031,,3.64e-08,,,,0.883,,0.202,0.813,0.000878
HACL1,0.758,,,0.58,,,,,0.859,,,0.637,,,,,,0.527,,0.518
GAR1,0.369,,,0.911,,,,,0.975,,,0.103,,,,,,0.732,,0.19
HSD3B7,0.642,,,0.114,,,,,0.216,,,0.583,,,,,,0.335,,0.616
ARID4B,0.0569,0.413,,0.95,,,,,0.402,0.452,,0.622,,,,0.041,,0.219,0.415,0.44
USP37,0.0412,,,0.659,,,,,0.992,,,0.0398,,,,,,0.00121,,0.0334
MAN1C1,0.173,,,0.225,,,,,0.824,,,0.629,,,,,,0.693,,0.419
TDP1,0.4,,,0.62,0.000264,,0.732,0.937,0.816,,0.43,0.746,0.111,0.415,0.757,,0.729,0.0283,,0.634
DERL2,0.232,,,0.461,,,,,0.223,,,0.598,,,,,,0.198,,0.317
TERB2,0.819,,,0.602,,,,,0.872,,,0.703,,,,,,0.665,,0.461
H2AZ1,0.852,,,0.127,0.695,,0.15,0.896,0.806,,0.928,0.546,0.403,0.281,0.188,,0.321,0.16,,0.772
PTEN,0.354,0.999,,0.631,0.405,,0.454,0.205,1.0,0.989,0.402,0.998,0.921,0.00497,0.99,0.998,0.933,0.987,0.00131,0.979
