id,SchleicherMoldovan2020.NT1-VE822,DeWeirdtDoench2020_secondary.pDNA_pDNA-Control_S63845,VermaGreenberg2021.CAPAN1_T7_UT-CAPAN1_T7_OLA,BenslimaneHarrington2020_jurkat.DMSO_D12-Resveratrol_D12,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_Camp_1,VermaGreenberg2021.SUM149PT_T7_UT-SUM149PT_T7_OLA,SuChen2020.HCT116_WT_T0_2-HCT116_WT_Olap_2,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_MitoC_1,WeegenLuijsterburg2021.wt_illudins-elof1_illudins,DeWeirdtDoench2020_secondary.pDNA_pDNA-MCL1KO_anchor_Dropout,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_HU_1,WeegenLuijsterburg2021.elof1_init-elof1_nt_both,SuChen2020.HEK293A_WT_T0_1-HEK293A_WT_Camp_1,SuChen2020.HCT116_WT_DMSO_2-HCT116_WT_Olap_2,SuChen2020.HCT116_TP53ko_T0_2-HCT116_TP53ko_DMSO_2,DeWeirdtDoench2020_secondary.Control_Dropout-Control_S63845,SuChen2020.HEK293A_WT_T0_1-HEK293A_WT_CHK1i_1,GalloDurocher2022_TKOv2.WT_T18-CCNE1_T18,DeWeirdtDoench2020_secondary.Control_Dropout-MCL1KO_anchor_Dropout,GalloDurocher2022_TKOv2.WT_T0-WT_T18
GPI,0.11865,0.42673,,0.99555,,,,,0.0063294,0.57548,,2.4678e-06,,,,0.77202,,8.0145e-06,0.72948,0.0005995
PDPK1,0.91841,0.0080618,,0.3246,,,,,0.88085,0.015124,,3.7018e-05,,,,0.38056,,0.80056,0.36366,2.4002e-05
SBDS,0.2678,,,0.14752,,,,,0.97609,,,1.2888e-05,,,,,,0.34207,,1.3794e-06
NUTF2,0.83861,,,0.79713,,,,,0.99986,,,2.7146e-05,,,,,,0.12465,,0.0001007
NDOR1,0.31097,,,0.93377,,,,,1.0,,,0.00090625,,,,,,0.78678,,2.7589e-07
RPS3,0.63621,,,0.61955,,,,,0.99628,,,4.2502e-05,,,,,,0.0030701,,1.4622e-05
PSMB7,0.20352,,,0.10252,,,,,,,,6.3067e-06,,,,,,,,1.9312e-06
CHORDC1,0.028327,,,0.19891,,,,,0.99808,,,1.1242e-05,,,,,,0.084431,,5.3246e-05
RAC1,0.58866,,,0.075416,,,,,0.99503,,,5.1825e-05,,,,,,0.14272,,1.407e-05
RPL36,,,,0.99573,,,,,0.95631,,,6.5809e-06,,,,,,0.0017878,,0.000754
MTOR,0.44746,,,0.9184,,,,,0.99848,,,1.9194e-06,,,,,,0.83073,,2.7313e-05
SRBD1,0.94944,,,0.37759,,,,,1.0,,,5.5115e-05,,,,,,0.68956,,0.00014098
TTC27,0.83221,,,0.029114,,,,,0.43352,,,2.1114e-05,,,,,,0.30337,,1.3794e-06
RPL18,,3.1332e-06,,0.19656,,,,,0.99203,3.1332e-06,,1.2339e-05,,,,0.834,,0.00657,0.76202,0.00013877
CCT5,0.92289,7.2064e-05,,0.50068,,,,,0.42268,0.00056711,,5.2099e-06,,,,0.5506,,0.27721,0.58719,2.014e-05
NUP214,0.37543,,,0.80496,,,,,0.50248,,,0.00030409,,,,,,0.87944,,2.2899e-05
THOC2,0.62278,,,0.73066,,,,,0.4122,,,3.5921e-05,,,,,,0.38668,,4.1383e-06
ALDOA,0.96274,,,0.70727,,,,,0.65724,,,2.742e-07,,,,,,0.45641,,1.3794e-06
CDC45,0.39268,,,0.15422,,,,,0.99332,,,1.892e-05,,,,,,0.2744,,3.5865e-06
CCT8,0.20151,,,0.92807,,,,,0.38534,,,3.8114e-05,,,,,,0.95535,,2.2347e-05
CTC1,0.50974,,,0.92288,,,,,0.99986,,,9.2407e-05,,,,,,0.13369,,3.4486e-05
UTP15,0.97032,,,0.69514,,,,,0.94273,,,3.0163e-06,,,,,,0.77517,,4.828e-05
TRAPPC8,0.41039,,,0.41906,,,,,0.89903,,,0.011137,,,,,,0.54489,,0.00012111
PSMD6,0.59186,,,0.74736,,,,,0.98157,,,0.00053881,,,,,,0.75601,,6.8971e-06
POP7,0.19339,,,0.44156,,,,,0.99937,,,0.00037539,,,,,,0.066198,,0.019552
RPL3,0.46022,,,0.65887,,,,,0.96918,,,1.0146e-05,,,,,,0.20964,,3.0347e-06
PSMG3,0.075779,,,0.18795,0.76735,,4.9633e-06,0.72016,0.93015,,0.95724,6.8825e-05,0.00019357,0.3222,4.9633e-06,,4.9633e-06,0.41336,,1.3794e-06
PSMA6,,,,0.22192,,,,,0.98836,,,8.2261e-07,,,,,,0.044229,,0.00096588
DBR1,0.54199,5.3265e-05,,0.32843,,,,,0.99321,7.8331e-05,,5.2099e-06,,,,0.036505,,0.94362,0.20595,1.2415e-05
TEN1,0.63398,,,0.71863,,,,,0.96143,,,0.0001818,,,,,,0.15546,,2.7313e-05
SRP54,0.68491,,,0.2981,,,,,0.82623,,,0.00083715,,,,,,0.020057,,5.766e-05
EIF2B3,0.45095,0.00028512,,0.66614,,,,,0.44023,3.4465e-05,,9.4052e-05,,,,0.24747,,0.56241,0.53019,0.00020553
GINS2,0.35705,,,0.090679,,,,,0.90448,,,3.5372e-05,,,,,,0.075442,,0.00018733
SYMPK,0.23464,,,0.18917,,,,,0.8809,,,9.5972e-06,,,,,,0.62783,,2.7589e-07
LSM7,,0.00037285,,0.47413,,,,,0.98438,0.0031113,,1.9194e-06,,,,0.96616,,0.60963,0.9914,0.000754
RNGTT,0.15713,,,0.27352,,,,,0.87186,,,2.742e-07,,,,,,0.35243,,4.0555e-05
HUWE1,0.91504,0.003011,,0.054622,,,,,0.37478,0.0051228,,5.7583e-06,,,,0.50848,,3.0124e-05,0.74502,0.00060778
DPH3,0.74583,2.8199e-05,,0.74681,,,,,0.51109,3.1332e-06,,0.013894,,,,0.022869,,0.20085,0.11523,1.407e-05
TRAIP,0.8194,,,0.56212,,,,,0.99461,,,5.676e-05,,,,,,0.03146,,8.718e-05
GTF2H4,0.004169,,,0.90937,0.92002,,0.44238,0.37574,0.9998,,0.96171,1.7549e-05,0.251,0.39987,0.23494,,0.0010671,0.98304,,0.00011615
GNL3,0.95973,,,0.29963,,,,,0.89386,,,1.371e-06,,,,,,0.53221,,8.5525e-06
NCAPH2,0.41377,0.75166,,0.90657,,,,,0.76795,0.95854,,0.00021799,,,,0.85883,,0.08326,0.70199,1.9312e-06
CDC7,0.17908,0.0018956,,0.034958,,,,,0.16068,0.0061192,,4.0308e-05,,,,0.084243,,0.058756,0.39516,0.00030927
CCT2,0.24781,,,0.59752,0.38059,,9.4302e-05,0.8391,0.60507,,0.92179,2.742e-07,0.00010423,0.5065,4.9633e-06,,3.4743e-05,0.45948,,2.0691e-05
EIF6,0.97299,3.1332e-06,,0.46749,0.86111,,0.0014642,0.079308,0.78434,3.1332e-06,0.42475,0.0070276,0.0074201,0.63349,0.020464,0.41818,0.00063034,0.11404,0.67895,0.00010677
NOC4L,0.66302,,,0.36007,,,,,0.97333,,,1.892e-05,,,,,,0.81835,,4.1383e-06
HEATR1,0.91387,,,0.74306,,,,,0.9009,,,4.1131e-06,,,,,,0.60453,,1.9312e-06
CCT4,0.75044,,,0.57852,,,,,0.84094,,,3.4824e-05,,,,,,0.10944,,0.00013712
SEH1L,0.97684,,,0.38915,,,,,0.77492,,,0.00041707,,,,,,0.50161,,1.9312e-06
CIAO1,0.66603,0.00034779,,0.18389,,,,,0.96063,0.00011593,,0.0003189,,,,0.90771,,0.44149,0.80877,3.89e-05
ERH,0.41987,0.067825,,0.93394,,,,,0.70363,0.0092963,,0.0015676,,,,0.31337,,0.86419,0.1226,7.4489e-06
CHEK1,0.96348,0.0036314,,0.015657,0.17698,,0.011222,0.037289,0.576,0.0059813,0.048566,0.00040884,0.0071521,0.47709,0.0012656,0.080502,0.00031269,0.9946,0.25433,0.00023588
SPATA5L1,0.99995,,,0.93545,,,,,0.99768,,,0.0010658,,,,,,0.15783,,0.00015091
PES1,0.8315,,,0.76483,,,,,0.86781,,,3.5647e-06,,,,,,0.16633,,3.5865e-06
PSMB4,0.33156,,,0.47691,,,,,0.46267,,,2.0017e-05,,,,,,0.77364,,1.3794e-06
ILF2,0.26637,,,0.94329,,,,,0.88538,,,3.1534e-05,,,,,,0.52054,,0.00012663
POLR3H,0.67084,3.1332e-06,,0.95348,,,,,0.99885,5.9531e-05,,8.2261e-07,,,,0.028635,,0.010713,0.5733,1.1311e-05
PFN1,0.98675,,,0.94844,,,,,0.85969,,,5.1825e-05,,,,,,0.94446,,0.00030706
TXNL4B,0.24631,0.10737,,0.96257,,,,,0.99986,0.11119,,0.00056514,,,,0.18666,,0.77119,0.95866,1.9588e-05
RPS11,0.89505,,,0.053879,,,,,0.6014,,,1.3984e-05,,,,,,,,1.9312e-06
GPN3,0.37724,,,0.65076,,,,,0.51908,,,2.742e-07,,,,,,0.20203,,3.0347e-06
TSR1,0.13821,,,0.6593,,,,,0.97679,,,0.00018509,,,,,,0.82709,,4.6901e-06
NCKAP1,0.72371,0.040566,,0.23506,,,,,0.50177,0.11397,,5.5115e-05,,,,0.012135,,0.33319,0.35954,0.0017339
VPS28,0.09099,0.0008867,,0.25292,,,,,0.68122,0.00029139,,1.6726e-05,,,,0.69164,,0.57554,0.68353,0.0001178
NUP93,0.73576,,,0.9557,,,,,0.48342,,,1.371e-06,,,,,,0.64303,,1.7933e-05
SRRM1,0.003909,,,0.78699,,,,,0.51374,,,0.0034909,,,,,,0.80254,,5.8764e-05
SARS1,0.88747,,,0.5373,,,,,0.34942,,,1.371e-06,,,,,,0.17346,,0.0011778
LARS1,0.69812,2.1933e-05,,0.043516,,,,,0.92651,8.4597e-05,,2.0017e-05,,,,0.34012,,0.79905,0.33541,1.1863e-05
RAD51C,0.71086,,,0.4325,0.27394,,0.033487,0.62932,0.53632,,0.99859,0.0012062,0.026261,0.22027,0.0074499,,0.22478,0.0055624,,0.00013877
NEDD1,0.98737,,,0.859,,,,,0.91606,,,4.1405e-05,,,,,,0.99755,,4.1659e-05
LRR1,0.27137,,,0.9783,,,,,0.93975,,,7.4035e-06,,,,,,0.7783,,4.6901e-06
UTP4,0.65297,,,0.91868,,,,,0.81998,,,1.9194e-06,,,,,,0.0472,,1.4622e-05
WDR33,0.55211,,,0.19565,,,,,0.97284,,,1.9194e-06,,,,,,0.34176,,1.1863e-05
POP4,0.62066,,,0.46036,,,,,0.99923,,,0.012225,,,,,,0.66553,,2.2899e-05
SHQ1,0.37141,0.0096284,,0.42718,,,,,0.79319,0.036054,,9.4052e-05,,,,0.77284,,0.30913,0.9843,4.1383e-06
HGS,0.18142,,,0.62974,,,,,0.59881,,,5.2373e-05,,,,,,0.98093,,6.3178e-05
MAGOH,0.3604,,,0.99188,,,,,0.99636,,,0.00028161,,,,,,0.10906,,0.0029953
GRPEL1,0.66139,,,0.26519,,,,,0.85839,,,7.2116e-05,,,,,,0.29808,,2.483e-06
ELMO2,0.56277,,,0.27755,,,,,0.23126,,,5.5115e-05,,,,,,0.93781,,0.00038155
RUVBL2,,,,0.10213,,,,,0.80764,,,1.9194e-06,,,,,,0.90291,,5.3798e-05
CTU1,0.96434,,,0.071234,,,,,0.98538,,,0.018591,,,,,,0.3262,,7.6972e-05
RPSA,0.94972,,,0.30831,,,,,0.90525,,,1.371e-06,,,,,,0.69989,,0.00017739
RAE1,0.84693,,,0.78398,,,,,0.99886,,,7.5955e-05,,,,,,0.44094,,1.3794e-06
SRSF1,0.85748,3.1332e-06,,0.31424,,,,,0.45436,3.1332e-06,,0.00013628,,,,0.072901,,0.16684,0.99978,8.6904e-05
COPA,0.17084,0.0027917,,0.52466,,,,,0.40965,0.0016073,,2.742e-07,,,,0.91837,,0.53093,0.92919,0.00014567
SMC6,0.33523,,,0.025775,0.0033601,,0.7578,0.27038,0.99999,,0.83732,0.0047956,0.10927,0.942,0.19004,,0.3478,0.22873,,0.00091291
GEMIN7,0.12689,,,0.7391,,,,,0.99169,,,3.976e-05,,,,,,0.013482,,4.1659e-05
CFAP20,0.024207,,,0.83579,,,,,0.99998,,,0.44752,,,,,,4.6982e-06,,0.033748
PWP2,0.16809,5.3265e-05,,0.61158,,,,,0.99899,9.0864e-05,,9.6246e-05,,,,0.064309,,0.14485,0.85392,1.407e-05
NMD3,0.13575,,,0.26662,,,,,0.94154,,,0.00088815,,,,,,0.46602,,0.0026753
RIC8A,0.81594,,,0.8467,,,,,0.95136,,,0.00029148,,,,,,0.92837,,0.00046432
NAA10,0.63192,,,0.87561,,,,,0.63414,,,1.9194e-06,,,,,,,,4.2211e-05
CFAP298,0.84739,0.12143,,0.67698,,,,,0.90261,0.10209,,7.4035e-06,,,,0.08727,,0.49089,0.72024,0.00028775
TIPARP,0.03083,0.83043,,0.67303,,,,,0.97274,0.8054,,0.0035518,,,,3.1332e-06,,0.22352,0.0080105,0.0011369
ANAPC4,0.026582,,,0.57632,,,,,0.83987,,,3.9211e-05,,,,,,0.0028253,,5.2418e-06
MRTO4,0.89033,,,0.53776,,,,,1.0,,,0.00011873,,,,,,0.02421,,0.00040693
EIF3I,0.6152,0.0038507,,0.050429,,,,,0.7239,0.016139,,1.371e-06,,,,0.7039,,0.22302,0.69998,0.0011055
ETF1,0.82942,,,0.44303,,,,,0.80092,,,0.00032438,,,,,,0.28036,,0.00019891
RNMT,0.46367,0.022531,,0.96339,0.05071,,0.23918,0.179,0.95449,0.031304,0.99994,4.1131e-06,0.0075988,0.99041,0.0057425,0.24446,0.0012359,0.15472,0.57799,0.0012969
DDX10,0.85705,,,0.5779,,,,,0.99716,,,6.6632e-05,,,,,,0.076256,,6.8971e-06
BUD31,,,,0.78603,0.10263,,0.0040252,0.066096,0.93669,,0.99906,2.0017e-05,0.0012061,0.26057,0.032266,,0.0038862,0.36991,,0.00010015
ANAPC11,0.34945,2.8199e-05,,0.059151,,,,,0.99987,0.00024752,,1.371e-06,,,,0.084995,,0.11896,0.91974,0.00098905
RPS8,,,,0.11994,,,,,0.99236,,,0.00037977,,,,,,0.38682,,0.00018346
DDOST,0.070145,,,0.73559,0.59183,,0.139,0.73549,0.77093,,0.99312,2.1662e-05,0.045836,0.63381,0.027164,,0.014607,0.6961,,2.345e-05
ROMO1,0.9842,,,0.051517,,,,,0.98805,,,0.015859,,,,,,0.014506,,3.8348e-05
TOMM40,0.90378,,,0.97403,,,,,0.95985,,,9.4601e-05,,,,,,0.12983,,0.0034897
MOCS3,0.68992,,,0.79265,,,,,0.62378,,,0.00033316,,,,,,0.39323,,3.0072e-05
RPL11,,,,0.41716,,,,,0.90553,,,1.371e-06,,,,,,0.29283,,0.00025244
C1orf109,0.12647,,,0.64982,,,,,0.90858,,,0.044996,,,,,,0.037316,,0.00026402
PRMT5,0.86925,,0.12219,0.13802,,0.35901,,,0.65852,,,2.8243e-05,,,,,,0.90527,,2.2899e-05
NOP16,0.83736,3.1332e-06,,0.8916,,,,,0.74517,2.8199e-05,,2.742e-06,,,,0.30023,,0.23176,0.69581,9.6836e-05
EIF2B5,0.73456,,,0.025403,,,,,0.85248,,,1.1242e-05,,,,,,0.84426,,0.00017133
RPL23,0.24197,3.1332e-06,,0.95517,,,,,0.36656,3.1332e-06,,0.00079053,,,,0.039507,,0.33524,0.12838,0.00016388
ACTR2,0.4346,,,0.61484,,,,,0.92822,,,6.8551e-06,,,,,,,,3.283e-05
TXNL4A,,,,0.69119,,,,,0.99959,,,5.7583e-06,,,,,,0.98546,,1.9312e-06
HYOU1,0.062436,,,0.36572,,,,,0.83863,,,0.00027777,,,,,,0.9971,,0.00020057
PLK4,0.65452,,,0.91067,,,,,0.89704,,,0.0085313,,,,,,0.065185,,0.00082517
SSRP1,0.81417,,,0.040243,,,,,0.67785,,,1.5081e-05,,,,,,0.95374,,1.8484e-05
TAF2,0.23464,,,0.75348,,,,,0.99293,,,0.0018912,,,,,,0.49293,,0.00052722
PSMD4,0.21518,0.001012,,0.77908,,,,,0.88717,0.0015572,,1.0694e-05,,,,0.49405,,0.32715,0.55811,1.9312e-06
PSMA3,0.33876,,,0.33682,,,,,0.20872,,,8.2261e-07,,,,,,0.54153,,0.00059288
ARPC4,0.96975,,,0.13424,,,,,0.91025,,,4.1405e-05,,,,,,0.84866,,2.5106e-05
PHF5A,0.66523,3.1332e-06,,0.94557,,,,,0.98121,3.1332e-06,,0.00044339,,,,0.1569,,0.14316,0.019836,1.2415e-05
TSEN54,0.012078,,,0.48902,,,,,0.56964,,,9.9536e-05,,,,,,0.11867,,5.5453e-05
NOL10,,,,0.85805,,,,,0.82929,,,6.3067e-06,,,,,,0.12143,,0.00073303
WDR77,0.20434,,,0.12461,,,,,0.32357,,,0.0002339,,,,,,0.1514,,6.8971e-06
DARS1,0.52019,,,0.067975,,,,,0.9665,,,5.4567e-05,,,,,,0.032355,,0.00095374
HAUS1,0.50464,,,0.25865,,,,,0.98369,,,0.0020266,,,,,,0.65612,,0.0046992
MCM3,0.77534,,,0.87267,,,,,0.76503,,,0.00036935,,,,,,0.96216,,3.5589e-05
FXN,0.70136,,,0.42055,,,,,0.96395,,,0.00014341,,,,,,0.059167,,0.00084007
INTS5,0.33296,,,0.34191,,,,,0.29622,,,4.1131e-06,,,,,,0.97668,,2.6761e-05
PSMB1,0.52429,,,0.99557,,,,,0.10863,,,2.4678e-06,,,,,,0.46093,,2.014e-05
PTPMT1,0.94388,9.0864e-05,,0.94784,,,,,0.99957,0.00065484,,0.00045326,,,,0.75183,,0.12932,0.98105,6.3178e-05
MARS2,,3.1332e-06,,0.1584,,,,,0.9389,3.1332e-06,,0.085653,,,,0.24991,,0.33276,0.68749,0.00076558
CDC37,0.99868,,,0.4938,,,,,0.95967,,,8.4729e-05,,,,,,0.74634,,0.0038693
RFC2,0.40852,,,0.37179,0.60359,,0.018846,0.028812,0.89367,,0.74379,0.00030135,0.018716,0.20435,0.0071024,,0.018419,0.094521,,1.9588e-05
UVRAG,0.13617,,,0.088841,,,,,0.55671,,,0.0097005,,,,,,0.96717,,0.00038431
MYC,0.62361,,,0.99903,0.64908,,0.019094,0.99239,0.58355,,0.89428,0.0001127,9.4302e-05,1.0,4.9633e-06,,4.9633e-06,0.74616,,0.00053494
CLP1,0.76969,,,0.30582,,,,,0.93315,,,0.00063149,,,,,,0.099216,,3.6141e-05
ELP6,0.34818,,,0.73639,,,,,0.70776,,,5.9502e-05,,,,,,0.28301,,0.00022319
HNRNPU,,,,0.64104,,,,,0.54383,,,6.0051e-05,,,,,,0.096218,,3.5037e-05
PSMD13,0.20739,,,0.11946,,,,,0.96539,,,1.4533e-05,,,,,,0.94994,,0.00020995
RPF2,0.97455,3.1332e-06,,0.98723,,,,,0.75564,3.1332e-06,,1.6178e-05,,,,0.55166,,0.19558,0.70693,1.076e-05
PSMA4,0.34068,0.0098979,,0.73676,,,,,0.85214,0.00019739,,6.3067e-06,,,,0.42786,,0.035717,0.31704,0.00026513
NAA20,0.0054471,0.14354,,0.42751,,,,,0.84799,0.10939,,0.00066933,,,,0.87188,,0.48381,0.57523,0.00059564
RPS2,0.18043,,,0.13949,,,,,0.89204,,,2.742e-07,,,,,,0.19273,,1.2967e-05
EIF3F,0.46697,,,0.78656,,,,,0.8192,,,1.1791e-05,,,,,,0.59979,,1.9312e-06
ITGB5,0.094202,,,0.41239,,,,,0.23244,,,7.9794e-05,,,,,,0.26504,,0.00058902
LTO1,0.39378,,,0.5312,0.59119,,0.022429,0.73964,0.98529,,0.91851,3.7018e-05,0.017843,0.74516,0.0034395,,0.003519,0.56393,,1.1311e-05
DOLK,0.67518,,,0.20622,,,,,0.99998,,,0.0044473,,,,,,0.089171,,1.1863e-05
NUP160,0.88271,,,0.30031,,,,,0.020457,,,5.1276e-05,,,,,,0.85276,,0.00035341
ATP6V0C,0.2637,3.1332e-06,,0.97334,,,,,0.90847,0.00011593,,7.5406e-05,,,,0.51627,,0.64687,0.89236,1.3794e-06
PSMB3,0.55445,,,0.95609,,,,,0.49831,,,3.5372e-05,,,,,,,,5.7936e-06
RRM1,0.69104,,,0.022105,0.84177,,0.0050278,0.091438,0.89664,,0.26678,1.9194e-06,0.057579,0.97701,0.00022335,,9.4302e-05,0.76803,,8.5249e-05
ORC5,0.11664,,,0.17587,,,,,0.9119,,,0.00047026,,,,,,0.17881,,0.00086601
TSR2,0.84791,3.1332e-06,,0.6926,,,,,0.99894,2.8199e-05,,1.1791e-05,,,,0.4744,,0.80673,0.97015,3.5865e-06
PNO1,0.07424,,,0.33714,,,,,0.99981,,,0.0094779,,,,,,0.081103,,0.00010456
PPP1R11,0.47379,,,0.41735,,,,,0.65913,,,0.0003518,,,,,,0.54376,,0.00020278
FERMT2,0.42784,,,0.060849,,,,,0.74506,,,0.029573,,,,,,0.8335,,0.00077993
VCP,,7.2064e-05,,0.061068,0.72403,,0.22922,0.36906,1.0,2.1933e-05,0.95946,1.2339e-05,0.031661,0.73566,0.10659,0.28015,0.24174,,0.16291,0.00060722
RUVBL1,0.36088,3.1332e-06,,0.93652,,,,,0.98576,3.1332e-06,,3.9211e-05,,,,0.78046,,,0.2749,1.9312e-06
IARS1,0.33334,,,0.73102,,,,,0.9574,,,4.1131e-06,,,,,,0.061457,,1.3794e-06
SNU13,0.32644,,,0.95786,,,,,0.90616,,,1.9194e-06,,,,,,0.35889,,0.00010346
NSF,0.47975,,,0.28469,,,,,0.90668,,,1.9194e-06,,,,,,0.19753,,0.0012644
GNL2,0.65062,0.004891,,0.12072,,,,,0.81558,0.08826,,5.5115e-05,,,,0.24657,,0.04206,0.69454,0.0010348
CDC20,0.14023,0.0017201,,0.1888,,,,,0.60947,0.00074257,,0.00042036,,,,0.60686,,0.065648,0.42931,0.00044666
POLR2L,0.31097,,,0.10421,,,,,0.98572,,,1.371e-06,,,,,,0.92203,,0.00012608
RRM2,0.039472,,,0.31409,0.8515,,0.052318,0.16503,0.822,,0.00014393,0.0028701,0.11709,0.86275,0.00044173,,0.00098769,0.76623,,0.0013659
RPL13,0.33868,,,0.93332,,,,,0.95414,,,0.0008377,,,,,,0.048427,,0.0002403
TRIO,0.43071,,,0.74136,,,,,0.32333,,,0.0016422,,,,,,0.61734,,0.0032927
DDX6,0.3367,0.023383,,0.96605,,,,,0.79245,0.16232,,0.00045271,,,,0.034124,,0.60344,0.49542,0.00014925
ATXN7L3,0.91883,0.0027729,,0.19948,,,,,0.99832,0.011352,,0.0049875,,,,0.92071,,0.54436,0.49823,0.00058681
