gene,SchleicherMoldovan2020.NT1-VE822,DeWeirdtDoench2020_secondary.pDNA_pDNA-Control_S63845,VermaGreenberg2021.CAPAN1_T7_UT-CAPAN1_T7_OLA,BenslimaneHarrington2020_jurkat.DMSO_D12-Resveratrol_D12,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_Camp_1,VermaGreenberg2021.SUM149PT_T7_UT-SUM149PT_T7_OLA,SuChen2020.HCT116_WT_T0_2-HCT116_WT_Olap_2,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_MitoC_1,WeegenLuijsterburg2021.wt_illudins-elof1_illudins,DeWeirdtDoench2020_secondary.pDNA_pDNA-MCL1KO_anchor_Dropout,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_HU_1,WeegenLuijsterburg2021.elof1_init-elof1_nt_both,SuChen2020.HEK293A_WT_T0_1-HEK293A_WT_Camp_1,SuChen2020.HCT116_WT_DMSO_2-HCT116_WT_Olap_2,SuChen2020.HCT116_TP53ko_T0_2-HCT116_TP53ko_DMSO_2,DeWeirdtDoench2020_secondary.Control_Dropout-Control_S63845,SuChen2020.HEK293A_WT_T0_1-HEK293A_WT_CHK1i_1,GalloDurocher2022_TKOv2.WT_T18-CCNE1_T18,DeWeirdtDoench2020_secondary.Control_Dropout-MCL1KO_anchor_Dropout,GalloDurocher2022_TKOv2.WT_T0-WT_T18
FZR1,0.996,,,0.712,,,,,0.0189,,,0.528,,,,,,0.96,,0.905
CENPX,0.68,,,0.763,,,,,0.453,,,0.365,,,,,,0.96,,0.551
BTAF1,0.139,,,0.276,,,,,0.0145,,,0.989,,,,,,0.952,,0.447
POLE3,0.267,,,0.115,1.0,,0.965,0.989,0.305,,0.93,0.554,0.978,0.997,0.415,,0.775,0.998,,0.438
RBBP8,0.549,,,0.672,0.845,,0.572,0.886,0.036,,0.705,0.926,0.83,0.67,0.564,,0.633,0.308,,0.889
SLX9,0.105,,,0.557,,,,,0.418,,,0.243,,,,,,0.97,,0.641
ULK3,0.685,,,0.868,,,,,0.469,,,0.212,,,,,,0.955,,0.217
IL27RA,0.201,,,0.505,,,,,0.267,,,0.541,,,,,,0.831,,0.263
SIVA1,0.466,,,0.477,,,,,0.366,,,0.627,,,,,,0.0499,,0.865
UBE2K,0.901,0.187,,0.353,,,,,0.00815,0.126,,0.167,,,,0.919,,0.966,0.473,0.19
ACTB,0.21,,,0.152,,,,,0.529,,,0.789,,,,,,1.0,,0.0876
PPP1R3G,0.39,,,0.305,,,,,0.828,,,0.305,,,,,,0.0257,,0.766
PHIP,0.412,,0.928,0.607,,0.68,,,0.952,,,0.417,,,,,,0.0536,,0.791
TMEM209,0.576,,,0.358,,,,,0.972,,,0.648,,,,,,0.817,,0.677
SERTAD2,0.317,,,0.56,,,,,0.745,,,0.486,,,,,,0.689,,0.234
RB1CC1,0.154,0.318,,0.785,,,,,0.022,0.357,,0.18,,,,0.432,,0.671,0.682,0.123
MMRN2,0.643,,,0.788,,,,,0.429,,,0.495,,,,,,0.237,,0.514
WDR26,0.104,0.855,,1.0,,,,,0.946,0.814,,0.679,,,,0.796,,0.179,0.273,0.757
RALGAPB,0.977,,,0.254,,,,,0.123,,,0.187,,,,,,0.995,,0.0472
LCMT1,0.477,,,0.153,,,,,0.0305,,,0.403,,,,,,0.0518,,0.465
PLXNA1,0.344,,,0.47,,,,,0.422,,,0.152,,,,,,0.931,,0.057
POLA2,0.17,,,0.196,,,,,0.51,,,0.999,,,,,,1.0,,0.954
MRPS18C,0.745,,,0.923,,,,,0.0653,,,0.527,,,,,,0.668,,0.693
GLE1,0.0121,,,0.549,,,,,0.395,,,0.986,,,,,,0.419,,0.983
NXT1,0.72,,,0.0819,,,,,0.155,,,0.0952,,,,,,0.914,,0.0956
BRAP,0.553,,,0.351,,,,,0.0793,,,0.555,,,,,,0.786,,0.445
NKTR,0.743,,,0.589,,,,,0.00457,,,0.142,,,,,,0.28,,0.582
TAPT1,0.933,,,0.0376,,,,,0.0748,,,0.684,,,,,,0.451,,0.839
CCNC,0.0472,0.263,,0.0522,,,,,0.0115,0.374,,0.662,,,,0.0583,,0.000106,0.756,0.195
CTDSPL2,0.968,,,0.329,,,,,0.000221,,,0.36,,,,,,1.0,,0.306
SLC6A8,0.108,,,0.278,,,,,0.247,,,0.709,,,,,,0.352,,0.601
ARMS2,0.233,,,0.999,,,,,0.379,,,0.339,,,,,,0.983,,0.275
ZBTB11,0.448,,,0.872,,,,,0.0266,,,0.997,,,,,,0.847,,1.0
ARHGAP9,0.565,,,0.566,,,,,0.676,,,0.551,,,,,,0.948,,0.283
LINC02905,,,,0.218,,,,,0.413,,,0.39,,,,,,0.892,,0.0376
HELLS,0.216,0.365,0.984,0.579,,0.125,,,0.25,0.356,,0.443,,,,0.38,,0.983,0.44,0.596
GABPA,0.513,,,0.591,,,,,0.0848,,,0.878,,,,,,0.534,,0.969
OTUD7A,0.456,,,0.454,,,,,0.36,,,0.242,,,,,,0.786,,0.476
DND1,0.091,,,0.705,,,,,0.501,,,0.857,,,,,,0.0611,,0.818
PRRT2,0.733,,,0.063,,,,,0.918,,,0.308,,,,,,0.557,,0.142
MAP4K4,0.352,,,0.0924,,,,,0.0813,,,0.186,,,,,,0.952,,0.0151
FAM47E-STBD1,0.639,,,0.911,,,,,0.44,,,0.378,,,,,,0.5,,0.291
KRT13,0.711,,,1.0,,,,,0.81,,,0.447,,,,,,0.423,,0.299
USP9X,0.985,,,0.906,,,,,0.417,,,0.454,,,,,,0.461,,0.341
BICC1,0.75,,,0.0789,,,,,0.379,,,0.4,,,,,,0.402,,0.288
SGTA,0.156,,,0.586,,,,,0.938,,,0.465,,,,,,0.679,,0.482
CHP2,0.48,,,1.0,,,,,0.603,,,0.341,,,,,,0.947,,0.516
NAA38,0.296,,,0.251,,,,,0.2,,,1.0,,,,,,0.288,,1.0
GPS1,0.985,,,0.793,,,,,0.0732,,,0.996,,,,,,0.782,,0.922
GFRAL,0.222,,,0.286,0.407,,0.165,0.31,0.56,,0.76,0.375,0.171,0.337,0.242,,0.183,0.217,,0.445
CLSPN,0.538,,,0.21,,,,,0.323,,,0.929,,,,,,0.792,,0.89
NPIPB5,0.252,,,0.785,,,,,0.66,,,0.345,,,,,,0.087,,0.578
PCBP1,0.0376,,,0.483,,,,,0.000133,,,0.837,,,,,,0.396,,0.988
ACTG1,0.0436,,,0.0536,,,,,0.314,,,0.786,,,,,,1.0,,0.135
DCTPP1,0.254,,,0.629,,,,,0.822,,,0.531,,,,,,0.395,,0.256
EIF2AK4,0.925,,,0.00612,,,,,0.000969,,,0.519,,,,,,1.0,,0.462
PGD,0.0873,0.882,,0.516,,,,,0.148,0.863,,0.807,,,,0.431,,0.973,0.181,0.646
SPON2,0.644,,,0.377,,,,,0.303,,,0.506,,,,,,0.168,,0.0682
ARIH2,0.818,,,0.0377,,,,,0.23,,,0.203,,,,,,0.9,,0.0939
NR2C1,0.564,,,0.0145,,,,,0.0475,,,0.376,,,,,,0.409,,0.295
HSP90B1,0.0622,,,0.589,,,,,0.787,,,0.77,,,,,,0.127,,0.997
ABHD15,0.325,,,0.577,,,,,0.314,,,0.584,,,,,,0.353,,0.532
KCTD5,0.0838,,,0.122,,,,,0.838,,,0.0287,,,,,,0.899,,0.0372
DIO2,0.538,,,0.764,,,,,0.555,,,0.374,,,,,,0.454,,0.539
RAB34,0.805,,,0.297,,,,,0.354,,,0.737,,,,,,0.931,,0.509
KCTD10,0.141,0.124,,0.954,,,,,0.622,0.255,,0.283,,,,0.248,,0.791,0.979,0.455
SNAPC3,0.821,,,0.846,,,,,0.173,,,1.0,,,,,,0.675,,0.999
SERF2,0.998,,,0.558,,,,,0.144,,,0.315,,,,,,0.813,,0.485
CNOT6L,0.638,,,0.412,,,,,0.0576,,,0.428,,,,,,0.414,,0.533
OR10H4,0.837,,,0.753,,,,,0.315,,,0.378,,,,,,0.263,,0.532
PPM1B,0.744,,,0.606,,,,,0.414,,,0.368,,,,,,0.327,,0.198
THEMIS2,0.998,0.247,,0.0867,,,,,0.624,0.253,,0.519,,,,0.523,,0.222,0.622,0.609
DHRS13,0.377,,,0.448,,,,,0.997,,,0.422,,,,,,0.887,,0.443
TRIP4,0.494,,,0.741,0.448,,0.217,0.65,0.828,,0.756,0.359,0.153,0.326,0.28,,0.0995,0.685,,0.103
PTPN14,0.431,0.0432,,0.519,,,,,0.856,0.0335,,0.0718,,,,0.0708,,0.441,0.382,0.0389
RRS1,0.576,,,0.87,,,,,0.139,,,1.0,,,,,,0.547,,0.999
ZMIZ1,0.217,,,0.751,,,,,0.704,,,0.566,,,,,,1.0,,0.304
PEF1,0.831,,,0.236,,,,,0.505,,,0.629,,,,,,0.422,,0.399
MERTK,0.18,,,0.763,,,,,0.703,,,0.409,,,,,,0.237,,0.326
KAT7,0.438,,0.342,0.88,,0.486,,,0.0587,,,0.481,,,,,,0.997,,0.581
AMPH,0.0399,,,0.292,,,,,0.542,,,0.224,,,,,,0.661,,0.235
SPNS3,0.537,,,0.937,,,,,0.589,,,0.416,,,,,,0.584,,0.256
TGM7,0.168,,,0.984,,,,,0.375,,,0.3,,,,,,0.861,,0.339
VPS72,0.682,,,0.848,,,,,0.06,,,0.949,,,,,,0.27,,0.924
USP34,0.952,,,0.263,,,,,0.776,,,0.46,,,,,,0.706,,0.401
CNOT4,0.888,0.522,,0.956,,,,,0.994,0.643,,0.212,,,,0.671,,0.98,0.89,0.12
GRPR,0.722,,,0.0638,,,,,0.748,,,0.384,,,,,,0.815,,0.271
FEN1,0.191,,,0.374,0.477,,0.919,0.163,0.0365,,0.343,0.857,0.84,0.664,0.805,,0.956,1.0,,0.964
SPATA5L1,0.000139,,,0.0516,,,,,0.031,,,0.988,,,,,,0.773,,1.0
INTS13,0.989,,,0.962,,,,,0.000648,,,0.946,,,,,,0.0617,,0.677
TCF7L2,0.408,,,0.568,,,,,0.505,,,0.244,,,,,,0.97,,0.266
NFYB,0.321,,,0.352,,,,,0.0787,,,0.498,,,,,,0.819,,0.369
SLF1,0.931,,,0.0894,,,,,0.0474,,,0.415,,,,,,0.966,,0.278
SNAPC5,0.526,,,0.592,,,,,0.0118,,,0.765,,,,,,0.913,,0.209
CTNS,0.344,,,0.719,,,,,0.29,,,0.372,,,,,,0.901,,0.0396
EAPP,0.0245,,,0.0596,,,,,0.0246,,,0.691,,,,,,0.225,,0.952
ARFRP1,0.932,0.95,,0.135,,,,,0.42,0.919,,0.993,,,,0.47,,0.3,0.0809,1.0
MTSS2,0.336,,,0.827,,,,,0.59,,,0.393,,,,,,0.547,,0.707
HUS1,0.912,,,1.0,0.606,,0.902,0.744,0.0225,,0.875,0.885,0.867,0.687,0.844,,0.87,0.979,,0.898
HSPA4,0.425,,,0.523,,,,,0.0972,,,0.337,,,,,,0.00416,,0.466
NAE1,0.252,,,0.109,,,,,0.189,,,0.891,,,,,,1.0,,0.656
SEC13,0.0366,,,0.979,,,,,0.472,,,0.998,,,,,,0.746,,1.0
GPR39,0.155,,,0.558,,,,,0.802,,,0.378,,,,,,0.138,,0.911
LIG1,0.238,0.517,,0.354,0.0032,,0.719,0.0488,0.09,0.581,0.0555,0.451,0.0375,0.903,0.319,0.552,0.225,0.307,0.712,0.357
B4GALT7,0.0567,,,0.0542,,,,,0.857,,,0.624,,,,,,0.997,,0.687
AASDH,0.124,0.423,,0.259,,,,,0.327,0.464,,0.28,,,,0.455,,0.79,0.649,0.169
CACNA1S,0.222,,,0.475,,,,,0.686,,,0.562,,,,,,0.465,,0.429
ENC1,0.943,,,0.236,,,,,0.442,,,0.262,,,,,,0.784,,0.296
PCGF1,0.452,,,0.0313,,,,,0.109,,,0.0586,,,,,,0.0179,,0.158
RASGEF1C,0.908,,,0.437,,,,,0.525,,,0.409,,,,,,0.325,,0.381
MCPH1,0.304,,,0.645,,,,,0.136,,,0.794,,,,,,0.37,,0.641
RAB11FIP3,0.263,,,0.165,,,,,0.398,,,0.3,,,,,,0.0718,,0.523
PIMREG,0.707,,,0.352,,,,,0.173,,,0.473,,,,,,0.495,,0.485
CFL1,0.124,,,0.0376,,,,,0.338,,,0.553,,,,,,0.931,,0.398
RUNX1,0.353,,,0.0678,,,,,0.976,,,0.0366,,,,,,0.999,,0.0619
OR9K2,0.0435,,,0.863,,,,,0.304,,,0.408,,,,,,0.58,,0.192
LIG3,0.919,,,0.269,0.727,,0.914,0.201,0.165,,0.24,0.399,0.758,0.955,0.529,,0.561,0.85,,0.764
LATS2,0.541,,,0.912,,,,,1.0,,,0.129,,,,,,0.963,,0.0408
MED17,0.277,,,0.242,,,,,0.0391,,,0.999,,,,,,0.369,,0.956
PUM1,0.52,,,0.0436,,,,,0.00777,,,0.6,,,,,,0.925,,0.42
KRT36,0.728,,,0.0749,,,,,0.435,,,0.394,,,,,,0.0912,,0.268
CTNNB1,0.688,,,0.49,,,,,0.523,,,0.446,,,,,,0.284,,0.783
THBS1,,,,0.456,,,,,0.787,,,0.509,,,,,,0.952,,0.14
PDIA6,0.146,,,0.602,,,,,0.628,,,0.318,,,,,,0.65,,0.189
THSD7B,0.223,,,0.933,,,,,0.471,,,0.418,,,,,,0.841,,0.301
MGAT3,0.179,,,0.966,,,,,0.909,,,0.453,,,,,,0.107,,0.518
THADA,0.963,,,0.596,,,,,0.398,,,0.35,,,,,,0.685,,0.37
RINT1,0.601,,,0.907,,,,,0.655,,,0.953,,,,,,0.667,,0.898
GALNT15,0.701,,,0.477,,,,,0.649,,,0.46,,,,,,0.148,,0.632
NUFIP1,0.303,,,0.766,,,,,0.106,,,0.984,,,,,,0.879,,0.858
RIC8B,0.94,,,0.43,,,,,0.352,,,0.192,,,,,,0.394,,0.24
USH1G,0.853,,,0.528,,,,,0.935,,,0.556,,,,,,0.315,,0.551
TNFSF15,0.686,,,0.599,,,,,0.916,,,0.395,,,,,,0.466,,0.0719
PRPF4,0.0599,,,0.493,,,,,0.321,,,1.0,,,,,,0.446,,0.992
DCTN5,0.938,0.989,,0.677,,,,,0.196,0.981,,0.999,,,,0.714,,0.561,0.155,0.993
SMYD5,0.575,,0.103,0.734,,0.238,,,0.518,,,0.303,,,,,,0.811,,0.383
ARF6,0.962,,,0.256,,,,,0.465,,,0.363,,,,,,0.831,,0.504
ZNF589,0.989,,,0.259,,,,,0.166,,,0.372,,,,,,0.737,,0.485
EFCAB13,0.332,,,0.928,,,,,0.6,,,0.444,,,,,,0.6,,0.697
IKBKB,0.405,0.155,,0.543,,,,,0.257,0.13,,0.306,,,,0.268,,0.56,0.387,0.223
MCM10,0.993,,,0.396,,,,,0.186,,,0.956,,,,,,0.818,,0.722
ZNRF4,0.86,,,0.992,,,,,0.982,,,0.304,,,,,,0.166,,0.454
ZNF280A,0.618,,,0.401,,,,,0.175,,,0.317,,,,,,0.402,,0.381
STK31,0.871,,,0.0183,,,,,0.209,,,0.381,,,,,,0.352,,0.225
UFD1,0.921,,,0.57,,,,,0.0335,,,0.984,,,,,,0.861,,0.991
GRWD1,0.31,,,0.0533,,,,,0.00483,,,0.981,,,,,,0.682,,0.953
RGL4,0.111,,,0.851,,,,,0.798,,,0.401,,,,,,0.0391,,0.677
ZNF85,0.827,,,0.126,,,,,0.414,,,0.529,,,,,,0.245,,0.672
NEBL,0.768,,,0.686,,,,,0.621,,,0.293,,,,,,0.683,,0.221
MYRFL,,,,0.148,,,,,0.627,,,0.459,,,,,,0.312,,0.441
TOMM70,0.385,0.524,,0.951,,,,,0.595,0.29,,0.694,,,,0.927,,0.834,0.0366,0.731
WIPF2,0.778,,,0.209,,,,,0.96,,,0.592,,,,,,0.279,,0.508
WARS1,0.36,,,0.487,,,,,0.0316,,,0.973,,,,,,0.673,,0.98
FAM214A,0.176,,,,,,,,,,,,,,,,,0.506,,0.146
MAST3,0.891,,,0.647,,,,,0.703,,,0.529,,,,,,0.825,,0.311
FAHD1,0.272,,,0.0902,,,,,0.564,,,0.366,,,,,,0.836,,0.226
CRTC3,0.125,,,0.901,,,,,0.623,,,0.238,,,,,,0.0611,,0.288
C2orf15,0.782,,,0.727,,,,,0.403,,,0.41,,,,,,0.501,,0.43
CHD3,0.6,,0.307,0.235,,0.257,,,0.475,,,0.424,,,,,,0.64,,0.0821
LYPD5,0.841,,,0.645,,,,,0.654,,,0.422,,,,,,0.218,,0.467
NANOG,0.304,,,0.512,,,,,0.81,,,0.223,,,,,,0.106,,0.602
RRP7A,0.712,,,0.0936,,,,,0.523,,,0.997,,,,,,0.159,,1.0
HEATR5A,0.822,,,0.111,,,,,0.543,,,0.369,,,,,,0.0633,,0.823
SNRNP70,0.427,,,0.385,,,,,0.0578,,,0.992,,,,,,0.224,,0.983
NUP58,0.698,,,0.452,,,,,0.119,,,0.967,,,,,,0.598,,0.793
ANXA7,0.049,,,0.324,,,,,0.682,,,0.485,,,,,,0.727,,0.35
ZMYND12,0.702,0.438,,0.464,,,,,0.872,0.454,,0.322,,,,0.259,,0.784,0.464,0.451
KRTAP10-10,0.302,,,0.247,,,,,0.8,,,0.25,,,,,,0.556,,0.225
SIN3B,0.077,,,0.911,,,,,0.937,,,0.518,,,,,,0.155,,0.408
TRMT10A,0.0535,,,0.967,,,,,0.653,,,0.419,,,,,,0.805,,0.403
MSGN1,0.262,,,0.854,,,,,0.135,,,0.383,,,,,,0.615,,0.469
DKC1,0.2,0.963,,9.65e-05,,,,,0.0096,0.969,,1.0,,,,0.117,,0.798,0.187,0.999
HACL1,0.242,,,0.42,,,,,0.141,,,0.363,,,,,,0.473,,0.482
GAR1,0.631,,,0.0887,,,,,0.0252,,,0.897,,,,,,0.268,,0.81
HSD3B7,0.358,,,0.886,,,,,0.784,,,0.417,,,,,,0.665,,0.384
ARID4B,0.943,0.587,,0.0499,,,,,0.598,0.548,,0.378,,,,0.959,,0.781,0.585,0.56
USP37,0.959,,,0.341,,,,,0.00756,,,0.96,,,,,,0.999,,0.967
MAN1C1,0.827,,,0.775,,,,,0.176,,,0.371,,,,,,0.307,,0.581
TDP1,0.6,,,0.38,1.0,,0.268,0.0631,0.184,,0.57,0.254,0.889,0.585,0.243,,0.271,0.972,,0.366
DERL2,0.768,,,0.539,,,,,0.777,,,0.402,,,,,,0.802,,0.683
TERB2,0.181,,,0.398,,,,,0.128,,,0.297,,,,,,0.335,,0.539
H2AZ1,0.148,,,0.873,0.305,,0.85,0.104,0.194,,0.0722,0.454,0.597,0.719,0.812,,0.679,0.84,,0.228
PTEN,0.646,0.00107,,0.369,0.595,,0.546,0.795,2.03e-08,0.0108,0.598,0.0023,0.0794,0.995,0.0101,0.00234,0.0668,0.0125,0.999,0.0214
TES,0.98,,,0.244,,,,,0.396,,,0.307,,,,,,0.233,,0.219
APOBEC3F,0.362,,,0.352,,,,,0.495,,,0.364,,,,,,0.331,,0.472
PLA2G4D,0.596,,,0.113,,,,,0.113,,,0.449,,,,,,0.924,,0.199
LSM1,0.0731,,,0.486,,,,,0.518,,,0.213,,,,,,0.558,,0.204
