id,SchleicherMoldovan2020.NT1-VE822,DeWeirdtDoench2020_secondary.pDNA_pDNA-Control_S63845,VermaGreenberg2021.CAPAN1_T7_UT-CAPAN1_T7_OLA,BenslimaneHarrington2020_jurkat.DMSO_D12-Resveratrol_D12,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_Camp_1,VermaGreenberg2021.SUM149PT_T7_UT-SUM149PT_T7_OLA,SuChen2020.HCT116_WT_T0_2-HCT116_WT_Olap_2,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_MitoC_1,WeegenLuijsterburg2021.wt_illudins-elof1_illudins,DeWeirdtDoench2020_secondary.pDNA_pDNA-MCL1KO_anchor_Dropout,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_HU_1,WeegenLuijsterburg2021.elof1_init-elof1_nt_both,SuChen2020.HEK293A_WT_T0_1-HEK293A_WT_Camp_1,SuChen2020.HCT116_WT_DMSO_2-HCT116_WT_Olap_2,SuChen2020.HCT116_TP53ko_T0_2-HCT116_TP53ko_DMSO_2,DeWeirdtDoench2020_secondary.Control_Dropout-Control_S63845,SuChen2020.HEK293A_WT_T0_1-HEK293A_WT_CHK1i_1,GalloDurocher2022_TKOv2.WT_T18-CCNE1_T18,DeWeirdtDoench2020_secondary.Control_Dropout-MCL1KO_anchor_Dropout,GalloDurocher2022_TKOv2.WT_T0-WT_T18
RCC1,0.874052,,,0.999227,0.848922,,0.224736,0.999995,0.065237,,0.086513,0.000631,0.027034,0.999995,0.287291,,0.037967,0.756398,,0.000381
CDC16,0.99971,,,0.99114,0.987335,,0.308911,0.477811,0.112324,,0.976148,0.002078,0.167636,0.999995,0.022953,,0.198404,0.662113,,0.010335
SPOUT1,0.981295,,,0.99114,,,,,0.220126,,,0.000399,,,,,,1.0,,0.000806
TCP1,0.999956,,,0.989391,,,,,0.999991,,,0.000399,,,,,,0.95846,,0.000806
NUP205,0.916724,,,0.998528,,,,,0.964706,,,0.002497,,,,,,0.608532,,0.004492
PSMA7,0.975311,,,0.999227,0.999995,,0.034874,0.999995,0.999991,,0.038527,0.006815,0.003615,0.999995,0.000176,,0.001598,0.678689,,0.000381
NCBP1,0.999956,,,0.989391,,,,,0.999991,,,0.002804,,,,,,0.95641,,0.001259
DHX15,0.987844,,,0.878404,0.224801,,0.096297,0.999995,0.823588,,0.999965,0.000702,0.012607,0.999995,0.000176,,0.014708,0.493114,,0.000806
VHL,0.94463,,,0.998528,,,,,0.999991,,,0.002092,,,,,,1.0,,0.001695
HSPA9,0.999956,,,0.899963,,,,,1.0,,,0.000679,,,,,,0.58144,,0.000381
RPL38,0.987882,0.020415,,0.980903,,,,,0.999991,0.07616,,0.000793,,,,0.716961,,0.283583,0.237995,0.000806
UBA2,0.998867,0.007939,,0.977409,,,,,0.999991,0.007965,,0.005603,,,,0.957556,,0.979055,0.559614,0.000806
TBCA,0.999112,,,0.992082,,,,,0.995181,,,0.051323,,,,,,0.495955,,0.000806
SEC61A1,0.968404,0.000863,,0.99114,,,,,1.0,0.005847,,0.018455,,,,0.999997,,0.869814,0.999997,0.003037
ARFRP1,0.969001,0.004748,,0.973659,,,,,0.999991,0.008663,,0.006954,,,,0.999997,,1.0,0.771536,0.000381
XRCC3,0.958212,0.002205,,0.996047,0.012741,,0.016591,0.50113,0.469344,0.007526,0.999995,0.050005,0.002568,0.392779,0.13268,0.999997,0.024364,0.970705,0.999997,0.002339
SUPT16H,0.962555,0.005468,,0.994214,,,,,0.999991,0.012838,,0.000785,,,,0.999997,,0.826108,0.999997,0.011036
GPI,0.969001,0.999997,,0.81435,,,,,0.658642,0.999997,,0.000512,,,,0.999997,,0.004102,0.568968,0.02109
PDPK1,0.99971,0.048617,,0.999227,,,,,0.953006,0.085378,,0.002069,,,,0.999997,,1.0,0.999997,0.003313
SBDS,0.99971,,,0.98874,,,,,0.943651,,,0.001124,,,,,,1.0,,0.000806
NUTF2,0.916724,,,0.999227,,,,,0.065237,,,0.001776,,,,,,0.959394,,0.007592
NDOR1,0.987882,,,0.999227,,,,,0.000381,,,0.016241,,,,,,0.978146,,0.000381
RPS3,0.99971,,,0.999979,,,,,0.336184,,,0.002102,,,,,,0.339476,,0.002547
PSMB7,0.981003,,,0.980903,,,,,,,,0.000785,,,,,,,,0.000806
CHORDC1,0.938506,,,0.99114,,,,,0.268705,,,0.00107,,,,,,0.928057,,0.005296
RAC1,0.99971,,,0.980903,,,,,0.288424,,,0.002386,,,,,,0.970359,,0.002547
RPL36,,,,0.81435,,,,,0.901738,,,0.000793,,,,,,0.264667,,0.024334
MTOR,0.999956,,,0.999227,,,,,0.209071,,,0.000423,,,,,,0.959403,,0.003604
SRBD1,0.894067,,,0.999227,,,,,0.001303,,,0.002386,,,,,,0.854754,,0.008939
TTC27,0.973541,,,0.977409,,,,,1.0,,,0.001519,,,,,,1.0,,0.000806
RPL18,,9.7e-05,,0.999227,,,,,0.524031,0.000124,,0.001087,,,,0.999997,,0.488332,0.563152,0.00883
CCT5,0.961997,0.00115,,0.999227,,,,,0.999991,0.00631,,0.000702,,,,0.969722,,1.0,0.456667,0.003037
NUP214,0.99767,,,0.922824,,,,,1.0,,,0.007021,,,,,,0.96113,,0.003235
THOC2,0.99971,,,0.999979,,,,,1.0,,,0.002059,,,,,,0.900071,,0.001259
ALDOA,0.887656,,,0.999227,,,,,0.879432,,,0.000381,,,,,,0.773182,,0.000806
CDC45,0.998867,,,0.890986,,,,,0.366409,,,0.001441,,,,,,1.0,,0.001259
CCT8,0.981003,,,0.982957,,,,,1.0,,,0.002092,,,,,,1.0,,0.003235
CTC1,0.999956,,,0.991032,,,,,0.065237,,,0.00321,,,,,,0.968441,,0.004238
UTP15,0.856386,,,0.999979,,,,,0.474622,,,0.000586,,,,,,0.852795,,0.005008
TRAPPC8,0.99971,,,0.999227,,,,,0.999991,,,0.122005,,,,,,1.0,,0.008263
PSMD6,0.999956,,,0.999227,,,,,0.723745,,,0.010749,,,,,,0.956282,,0.001695
POP7,0.969064,,,0.995437,,,,,0.134362,,,0.008126,,,,,,0.892484,,0.248468
RPL3,0.999956,,,0.999979,,,,,0.953006,,,0.001018,,,,,,0.969322,,0.001159
PSMG3,0.961166,,,0.99114,0.999995,,0.000761,0.999995,0.98419,,0.261868,0.002684,0.005936,0.999995,0.000176,,0.000457,1.0,,0.000806
PSMA6,,,,0.99114,,,,,0.550319,,,0.000399,,,,,,0.828833,,0.028695
DBR1,0.999956,0.000905,,0.667604,,,,,0.450874,0.001406,,0.000702,,,,0.761229,,0.869814,0.999997,0.002395
TEN1,0.99971,,,0.999227,,,,,0.742195,,,0.004848,,,,,,0.976039,,0.003604
SRP54,0.99971,,,0.99114,,,,,0.781009,,,0.015261,,,,,,0.696506,,0.005474
EIF2B3,0.999956,0.003362,,0.999227,,,,,0.999991,0.000778,,0.00321,,,,0.999997,,0.944005,0.332008,0.011109
GINS2,0.995162,,,0.980903,,,,,0.999991,,,0.002047,,,,,,0.907406,,0.010671
SYMPK,0.981295,,,0.882785,,,,,0.713644,,,0.00099,,,,,,1.0,,0.000381
LSM7,,0.004063,,0.998528,,,,,0.512658,0.024457,,0.000423,,,,0.996559,,1.0,0.999997,0.024334
RNGTT,0.975311,,,0.99114,,,,,0.946657,,,0.000381,,,,,,1.0,,0.004492
HUWE1,0.96838,0.022547,,0.980903,,,,,1.0,0.036651,,0.000748,,,,0.969722,,0.012211,0.912162,0.021177
DPH3,0.98551,0.000579,,0.999227,,,,,0.975858,0.000124,,0.146346,,,,0.613119,,1.0,0.967795,0.002547
TRAIP,0.99971,,,0.999227,,,,,0.069582,,,0.0024,,,,,,0.756398,,0.007047
GTF2H4,0.877537,,,0.999227,0.784162,,0.999995,0.999995,0.076105,,0.498623,0.00139,0.630923,0.999995,0.783122,,0.010512,0.944005,,0.00811
GNL3,0.887656,,,0.99114,,,,,0.336818,,,0.000399,,,,,,1.0,,0.002019
NCAPH2,0.999956,0.999997,,0.882785,,,,,0.201885,0.999997,,0.005575,,,,0.999997,,0.928057,0.999997,0.000806
CDC7,0.975311,0.015681,,0.977409,,,,,0.929888,0.041674,,0.002092,,,,0.974306,,0.881382,0.999997,0.014049
CCT2,0.98388,,,0.999227,0.999995,,0.004795,0.999995,0.999991,,0.41837,0.000381,0.003688,0.999995,0.000176,,0.001598,1.0,,0.003094
EIF6,0.925833,9.7e-05,,0.997469,0.803635,,0.030465,0.429197,1.0,0.000124,0.128995,0.084415,0.052171,0.999995,0.12225,0.999997,0.00763,0.954759,0.999997,0.007725
NOC4L,0.999956,,,0.994214,,,,,0.831897,,,0.001441,,,,,,1.0,,0.001259
HEATR1,0.99971,,,0.999227,,,,,0.999991,,,0.000635,,,,,,1.0,,0.000806
CCT4,0.992707,,,0.999227,,,,,1.0,,,0.002035,,,,,,0.952114,,0.00883
SEH1L,0.849267,,,0.994214,,,,,0.999991,,,0.008766,,,,,,1.0,,0.000806
CIAO1,0.963934,0.003925,,0.992359,,,,,0.786619,0.001778,,0.007288,,,,0.659496,,0.916099,0.683704,0.004418
ERH,0.999956,0.2798,,0.958458,,,,,0.122418,0.059708,,0.025202,,,,0.954661,,1.0,0.983208,0.001782
CHEK1,0.887656,0.026319,,0.977409,0.77925,,0.079909,0.256014,0.999991,0.041089,0.502435,0.008663,0.052171,0.999995,0.012656,0.974306,0.005532,0.549897,0.999997,0.012163
SPATA5L1,0.585534,,,0.915552,,,,,0.209071,,,0.018449,,,,,,0.977192,,0.009338
PES1,0.99971,,,0.999227,,,,,0.77199,,,0.000631,,,,,,0.979055,,0.001259
PSMB4,0.992322,,,0.998528,,,,,0.928448,,,0.001446,,,,,,1.0,,0.000806
ILF2,0.987844,,,0.999227,,,,,0.999991,,,0.00195,,,,,,1.0,,0.008354
POLR3H,0.99971,9.7e-05,,0.999227,,,,,0.189112,0.00112,,0.000399,,,,0.69604,,0.593224,0.999997,0.002339
PFN1,0.887656,,,0.999227,,,,,0.999991,,,0.002386,,,,,,0.796068,,0.013985
TXNL4B,0.969064,0.410747,,0.999227,,,,,0.030193,0.403681,,0.011197,,,,0.999997,,1.0,0.999997,0.003037
RPS11,0.945323,,,0.999227,,,,,0.999991,,,0.00118,,,,,,,,0.000806
GPN3,0.99767,,,0.999227,,,,,1.0,,,0.000381,,,,,,1.0,,0.001159
TSR1,0.975311,,,0.991032,,,,,0.611299,,,0.004921,,,,,,0.962092,,0.001357
NCKAP1,0.99971,0.179535,,0.99114,,,,,0.999991,0.409462,,0.002386,,,,0.479232,,1.0,0.96015,0.042798
VPS28,0.969001,0.008491,,0.99114,,,,,0.999991,0.003743,,0.00133,,,,0.659496,,0.969581,0.767275,0.008162
NUP93,0.99971,,,0.966779,,,,,1.0,,,0.000399,,,,,,0.780106,,0.003036
SRRM1,0.877537,,,0.999979,,,,,1.0,,,0.048332,,,,,,1.0,,0.00555
SARS1,0.975881,,,0.998528,,,,,0.70469,,,0.000399,,,,,,0.781708,,0.03312
LARS1,0.678639,0.00051,,0.979408,,,,,0.980806,0.001485,,0.001446,,,,0.999997,,0.642088,0.999997,0.002339
RAD51C,0.99971,,,0.995437,0.999995,,0.15793,0.999995,0.712072,,0.899149,0.020183,0.119603,0.914908,0.050396,,0.622889,0.457058,,0.00883
NEDD1,0.854431,,,0.87016,,,,,0.999991,,,0.002092,,,,,,0.608532,,0.00453
LRR1,0.987844,,,0.947415,,,,,0.370103,,,0.00081,,,,,,1.0,,0.001357
UTP4,0.99971,,,0.958458,,,,,0.999991,,,0.000423,,,,,,0.840151,,0.002547
WDR33,0.999956,,,0.882785,,,,,0.520369,,,0.000423,,,,,,1.0,,0.002339
POP4,0.99971,,,0.997076,,,,,0.168135,,,0.131458,,,,,,1.0,,0.003235
SHQ1,0.99971,0.056764,,0.994302,,,,,0.4773,0.16464,,0.00321,,,,0.969722,,1.0,0.328525,0.001259
HGS,0.975311,,,0.999227,,,,,1.0,,,0.002386,,,,,,0.792073,,0.005697
MAGOH,0.995162,,,0.845358,,,,,0.332736,,,0.006707,,,,,,0.952114,,0.061921
GRPEL1,0.99971,,,0.940401,,,,,0.999991,,,0.002753,,,,,,1.0,,0.001013
ELMO2,0.990958,,,0.99114,,,,,0.969447,,,0.002386,,,,,,1.0,,0.015807
RUVBL2,,,,0.980903,,,,,0.366409,,,0.000423,,,,,,0.95846,,0.005296
CTU1,0.82069,,,0.980903,,,,,0.6711,,,0.184422,,,,,,1.0,,0.006546
RPSA,0.878549,,,0.99114,,,,,0.999991,,,0.000399,,,,,,1.0,,0.010335
RAE1,0.99971,,,0.999227,,,,,0.201885,,,0.002804,,,,,,1.0,,0.000806
SRSF1,0.96838,9.7e-05,,0.99114,,,,,0.999991,0.000124,,0.003918,,,,0.999997,,0.979528,0.683704,0.007047
COPA,0.975311,0.021517,,0.999227,,,,,1.0,0.014031,,0.000381,,,,0.783327,,1.0,0.563152,0.009108
SMC6,0.993016,,,0.977409,0.039632,,0.999995,0.935163,0.002561,,0.999995,0.062064,0.341922,0.999995,0.657277,,0.842045,1.0,,0.028002
GEMIN7,0.969623,,,0.999227,,,,,0.10615,,,0.002092,,,,,,0.613202,,0.00453
CFAP20,0.937921,,,0.999227,,,,,0.015333,,,1.0,,,,,,0.00285,,0.368252
PWP2,0.975311,0.000905,,0.999979,,,,,0.19058,0.001527,,0.003242,,,,0.939068,,0.970705,0.999997,0.002547
NMD3,0.975311,,,0.99114,,,,,0.499297,,,0.015955,,,,,,1.0,,0.057481
RIC8A,0.99971,,,0.999227,,,,,0.657737,,,0.006879,,,,,,0.98921,,0.017995
NAA10,0.931112,,,0.98936,,,,,0.254272,,,0.000423,,,,,,,,0.004563
CFAP298,0.999956,0.449336,,0.999227,,,,,0.868203,0.3812,,0.00081,,,,0.974306,,1.0,0.999997,0.013472
TIPARP,0.941116,0.999997,,0.999979,,,,,0.999991,0.999997,,0.048942,,,,0.000619,,0.920992,0.225866,0.03228
ANAPC4,0.938506,,,0.998528,,,,,0.216009,,,0.002092,,,,,,0.335158,,0.001493
MRTO4,0.967667,,,0.998528,,,,,0.000381,,,0.003583,,,,,,0.734139,,0.016336
EIF3I,0.999956,0.027406,,0.980903,,,,,0.874947,0.089472,,0.000399,,,,0.996559,,1.0,0.04923,0.031637
ETF1,0.974362,,,0.999227,,,,,0.999991,,,0.007339,,,,,,1.0,,0.011036
RNMT,0.999956,0.113735,,0.999227,0.31102,,0.618093,0.703762,0.910465,0.150336,0.03435,0.000635,0.052171,0.999995,0.040024,0.973409,0.011602,0.976039,0.999997,0.034891
DDX10,0.96838,,,0.999227,,,,,0.332736,,,0.002644,,,,,,0.907561,,0.001695
BUD31,,,,0.999979,0.530424,,0.041147,0.386423,0.962185,,0.199819,0.001446,0.017897,0.990585,0.168664,,0.025908,1.0,,0.007582
ANAPC11,0.994057,0.000579,,0.980903,,,,,0.069853,0.003371,,0.000399,,,,0.973409,,0.95641,0.999997,0.029142
RPS8,,,,0.980903,,,,,0.469344,,,0.008182,,,,,,1.0,,0.010518
DDOST,0.952916,,,0.999979,0.999995,,0.426256,0.818076,0.999991,,0.143436,0.001552,0.189714,0.999995,0.148755,,0.068563,1.0,,0.003262
ROMO1,0.856386,,,0.980903,,,,,0.557526,,,0.162239,,,,,,0.625345,,0.004418
TOMM40,0.992707,,,0.999227,,,,,0.99696,,,0.003222,,,,,,0.967195,,0.069654
MOCS3,0.939282,,,0.999227,,,,,0.409143,,,0.007453,,,,,,0.990138,,0.003827
RPL11,,,,0.81435,,,,,0.459415,,,0.000399,,,,,,1.0,,0.012479
C1orf109,0.969623,,,0.999979,,,,,0.742067,,,0.371956,,,,,,0.790086,,0.012789
PRMT5,0.963502,,0.776093,0.980903,,0.884917,,,0.673066,,,0.001795,,,,,,0.95846,,0.003235
NOP16,0.973541,9.7e-05,,0.9624,,,,,0.488034,0.000719,,0.000563,,,,0.999997,,1.0,0.999997,0.007426
EIF2B5,0.996662,,,0.977409,,,,,0.080446,,,0.00107,,,,,,1.0,,0.010112
RPL23,0.982821,9.7e-05,,0.844472,,,,,1.0,0.000124,,0.014608,,,,0.761229,,1.0,0.988867,0.009818
ACTR2,0.999956,,,0.999979,,,,,0.943651,,,0.000793,,,,,,,,0.004149
TXNL4A,,,,0.978813,,,,,0.121471,,,0.000748,,,,,,0.676365,,0.000806
HYOU1,0.952916,,,0.999227,,,,,1.0,,,0.006625,,,,,,0.492358,,0.011036
PLK4,0.99971,,,0.982957,,,,,0.459474,,,0.098167,,,,,,0.891227,,0.025886
SSRP1,0.934176,,,0.977409,,,,,0.964735,,,0.001221,,,,,,0.292404,,0.003037
TAF2,0.981295,,,0.999227,,,,,0.499297,,,0.029034,,,,,,1.0,,0.019386
PSMD4,0.981295,0.009462,,0.999979,,,,,0.999991,0.013669,,0.001055,,,,0.999997,,1.0,0.999997,0.000806
PSMA3,0.988636,,,0.99114,,,,,0.957682,,,0.000399,,,,,,0.993673,,0.021018
ARPC4,0.911135,,,0.980903,,,,,0.843105,,,0.002092,,,,,,0.96113,,0.003439
PHF5A,0.99971,9.7e-05,,0.98936,,,,,0.674132,0.000124,,0.00918,,,,0.719547,,0.970359,0.417624,0.002395
TSEN54,0.896787,,,0.998528,,,,,0.999991,,,0.003309,,,,,,0.95641,,0.005321
NOL10,,,,0.999227,,,,,0.941754,,,0.000785,,,,,,0.95641,,0.024047
WDR77,0.981003,,,0.980903,,,,,0.991293,,,0.00583,,,,,,0.975423,,0.001695
DARS1,0.785156,,,0.999227,,,,,0.838191,,,0.002386,,,,,,0.758599,,0.028523
HAUS1,0.999956,,,0.99114,,,,,0.635986,,,0.030619,,,,,,1.0,,0.085693
MCM3,0.990958,,,0.999979,,,,,0.714771,,,0.008054,,,,,,0.8018,,0.004267
FXN,0.974362,,,0.966779,,,,,0.127569,,,0.004058,,,,,,0.883222,,0.026205
INTS5,0.974362,,,0.992082,,,,,0.988474,,,0.000635,,,,,,0.125,,0.003584
PSMB1,0.999956,,,0.81435,,,,,0.896428,,,0.000512,,,,,,1.0,,0.003037
PTPMT1,0.856386,0.00138,,0.999227,,,,,0.102925,0.007038,,0.009342,,,,0.999997,,0.965926,0.499021,0.005697
MARS2,,9.7e-05,,0.936773,,,,,0.228398,0.000124,,0.625812,,,,0.999997,,1.0,0.999997,0.024575
CDC37,0.670094,,,0.982957,,,,,0.846564,,,0.003023,,,,,,1.0,,0.074709
RFC2,0.98551,,,0.994214,0.841749,,0.107501,0.217269,0.853398,,0.984785,0.007011,0.095662,0.878526,0.048763,,0.084726,0.934997,,0.003037
UVRAG,0.975311,,,0.980903,,,,,1.0,,,0.108576,,,,,,1.0,,0.015817
MYC,0.803064,,,0.477202,0.999995,,0.107501,0.072081,0.964735,,0.999995,0.00353,0.003615,0.000228,0.000176,,0.000457,0.984382,,0.01959
CLP1,0.999956,,,0.99114,,,,,0.439868,,,0.012116,,,,,,0.9415,,0.004267
ELP6,0.990958,,,0.712523,,,,,0.977655,,,0.002447,,,,,,1.0,,0.011705
HNRNPU,,,,0.87016,,,,,0.19058,,,0.002453,,,,,,0.937736,,0.004267
PSMD13,0.981003,,,0.980903,,,,,0.820734,,,0.001187,,,,,,0.613224,,0.011246
RPF2,0.856386,9.7e-05,,0.890986,,,,,0.134362,0.000124,,0.001292,,,,0.999997,,0.9973,0.999997,0.002339
PSMA4,0.994057,0.058136,,0.999227,,,,,0.971364,0.002861,,0.000785,,,,0.300689,,0.786212,0.999997,0.012789
NAA20,0.877537,0.506243,,0.991175,,,,,0.960886,0.401946,,0.012677,,,,0.999997,,1.0,0.999997,0.021018
RPS2,0.975311,,,0.980903,,,,,0.99696,,,0.000381,,,,,,0.9973,,0.002475
EIF3F,0.99971,,,0.98936,,,,,0.999991,,,0.00107,,,,,,0.608532,,0.000806
ITGB5,0.969001,,,0.999227,,,,,0.970786,,,0.002899,,,,,,0.951144,,0.020971
LTO1,0.962555,,,0.998528,0.994118,,0.11859,0.999995,0.538545,,0.873858,0.002069,0.093146,0.999995,0.027279,,0.024364,1.0,,0.002339
DOLK,0.990958,,,0.958458,,,,,0.01513,,,0.058607,,,,,,0.929513,,0.002339
NUP160,0.948534,,,0.999227,,,,,0.791579,,,0.002386,,,,,,1.0,,0.015171
ATP6V0C,0.945323,9.7e-05,,0.87016,,,,,0.999991,0.001778,,0.002804,,,,0.781565,,0.535315,0.017898,0.000806
PSMB3,0.999956,,,0.999227,,,,,1.0,,,0.002047,,,,,,,,0.001624
RRM1,0.999956,,,0.977409,0.929654,,0.050278,0.45257,0.946657,,0.999965,0.000423,0.226379,0.999995,0.003425,,0.002552,1.0,,0.007047
ORC5,0.969001,,,0.99114,,,,,0.072213,,,0.009583,,,,,,0.98721,,0.026746
TSR2,0.969064,9.7e-05,,0.902741,,,,,0.19553,0.000719,,0.00107,,,,0.781565,,0.978146,0.208608,0.001259
PNO1,0.961166,,,0.99114,,,,,0.086947,,,0.106554,,,,,,0.92486,,0.007658
PPP1R11,0.999956,,,0.999227,,,,,0.268705,,,0.007765,,,,,,1.0,,0.01106
FERMT2,0.973541,,,0.980903,,,,,1.0,,,0.268429,,,,,,0.959403,,0.024902
VCP,,0.00115,,0.980903,0.999995,,0.601455,0.999995,0.006892,0.00063,0.291532,0.001087,0.141397,0.999995,0.403193,0.969722,0.643875,,0.999997,0.021177
RUVBL1,0.945323,9.7e-05,,0.890986,,,,,0.391706,0.000124,,0.002092,,,,0.999997,,,0.999997,0.000806
IARS1,0.997052,,,0.98936,,,,,0.620718,,,0.000635,,,,,,0.885414,,0.000806
SNU13,0.992322,,,0.978813,,,,,0.99696,,,0.000423,,,,,,1.0,,0.007658
NSF,0.99971,,,0.99114,,,,,0.6711,,,0.000423,,,,,,0.99827,,0.03448
GNL2,0.99971,0.033523,,0.980903,,,,,0.857077,0.338857,,0.002386,,,,0.999997,,0.820143,0.999997,0.030145
CDC20,0.905707,0.014614,,0.99114,,,,,1.0,0.00777,,0.008784,,,,0.999997,,0.891227,0.999997,0.017424
POLR2L,0.987882,,,0.980903,,,,,0.605869,,,0.000399,,,,,,0.912056,,0.008348
RRM2,0.94463,,,0.999227,0.803635,,0.207467,0.670252,0.740222,,0.006019,0.040994,0.361481,0.576003,0.005976,,0.010299,1.0,,0.036311
RPL13,0.993767,,,0.98936,,,,,0.831886,,,0.015261,,,,,,0.844165,,0.012204
TRIO,0.99971,,,0.999227,,,,,0.991293,,,0.0262,,,,,,1.0,,0.066686
DDX6,0.993224,0.115671,,0.82573,,,,,0.999991,0.543957,,0.009341,,,,0.761229,,1.0,0.999997,0.009267
ATXN7L3,0.99971,0.021476,,0.999227,,,,,0.246323,0.070336,,0.064134,,,,0.988612,,1.0,0.999997,0.020971
RPL14,0.975311,,,0.999227,,,,,0.977655,,,0.000381,,,,,,0.978503,,0.018946
LONP1,0.962555,,,0.72367,,,,,0.303183,,,0.002035,,,,,,1.0,,0.007047
CDC5L,0.990958,,,0.999227,0.684586,,0.297542,0.999995,0.999991,,0.695293,0.003547,0.012607,0.999995,0.037241,,0.058254,0.840151,,0.036645
MCM2,0.973541,,,0.99114,0.461435,,0.158411,0.580721,0.999991,,0.999965,0.005603,0.058843,0.513384,0.097963,,0.045216,0.897145,,0.005296
CENPK,0.995623,,,0.980903,,,,,0.999991,,,0.023376,,,,,,0.962073,,0.008313
MCM6,0.938506,,,0.810069,,,,,0.001303,,,0.002069,,,,,,1.0,,0.011036
MED20,,,,0.999227,,,,,0.874667,,,0.00107,,,,,,1.0,,0.005147
CYFIP1,0.96838,,,0.999979,,,,,0.930179,,,0.003333,,,,,,0.854754,,0.024047
SMU1,0.987882,9.7e-05,,0.999227,,,,,0.999942,0.000124,,0.000399,,,,0.716961,,0.895938,0.999997,0.001159
ALG2,,,,0.477202,,,,,1.0,,,0.00081,,,,,,1.0,,0.024946
HMGCR,0.82069,,,0.965521,,,,,0.092237,,,0.044446,,,,,,1.0,,0.028943
STIL,0.98551,,,0.99114,,,,,0.489128,,,0.004987,,,,,,0.643903,,0.025838
BUB1B,0.830569,0.033523,,0.982957,,,,,1.0,0.007784,,0.000423,,,,0.999997,,0.678689,0.7691,0.430863
SPC24,0.856386,,,0.999227,0.885285,,0.15793,0.486496,1.0,,0.081262,0.192999,0.31353,0.999995,0.097963,,0.022142,1.0,,0.007658
SETD1A,0.998867,,0.749667,0.999227,,0.884917,,,1.0,,,0.007339,,,,,,1.0,,0.154479
NUBP1,0.974362,,,0.845358,,,,,0.395311,,,0.002092,,,,,,0.913653,,0.003037
CENATAC,0.961166,,,0.999979,,,,,0.971364,,,0.000399,,,,,,1.0,,0.01473
EIF3A,0.945323,0.005468,,0.985696,,,,,0.80673,0.013413,,0.00099,,,,0.999997,,1.0,0.999997,0.017132
CWC22,0.99971,0.47095,,0.980903,,,,,0.649635,0.999997,,0.00877,,,,0.999997,,1.0,0.481391,0.154539
CDK4,0.99971,,,0.99114,0.784162,,0.999995,0.783005,0.918963,,0.999995,0.000399,0.999995,0.999995,0.211797,,0.833397,0.007426,,0.005345
