id,SchleicherMoldovan2020.NT1-VE822,DeWeirdtDoench2020_secondary.pDNA_pDNA-Control_S63845,VermaGreenberg2021.CAPAN1_T7_UT-CAPAN1_T7_OLA,BenslimaneHarrington2020_jurkat.DMSO_D12-Resveratrol_D12,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_Camp_1,VermaGreenberg2021.SUM149PT_T7_UT-SUM149PT_T7_OLA,SuChen2020.HCT116_WT_T0_2-HCT116_WT_Olap_2,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_MitoC_1,WeegenLuijsterburg2021.wt_illudins-elof1_illudins,DeWeirdtDoench2020_secondary.pDNA_pDNA-MCL1KO_anchor_Dropout,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_HU_1,WeegenLuijsterburg2021.elof1_init-elof1_nt_both,SuChen2020.HEK293A_WT_T0_1-HEK293A_WT_Camp_1,SuChen2020.HCT116_WT_DMSO_2-HCT116_WT_Olap_2,SuChen2020.HCT116_TP53ko_T0_2-HCT116_TP53ko_DMSO_2,DeWeirdtDoench2020_secondary.Control_Dropout-Control_S63845,SuChen2020.HEK293A_WT_T0_1-HEK293A_WT_CHK1i_1,GalloDurocher2022_TKOv2.WT_T18-CCNE1_T18,DeWeirdtDoench2020_secondary.Control_Dropout-MCL1KO_anchor_Dropout,GalloDurocher2022_TKOv2.WT_T0-WT_T18
PSMA6,,,,-0.098952,,,,,1.3072,,,-4.4004,,,,,,-2.5082,,-3.4105
DBR1,-0.35148,-3.0128,,1.9101,,,,,2.2526,-3.1522,,-3.1096,,,,-0.28531,,1.8377,-0.29703,-5.5519
TEN1,0.27365,,,0.77672,,,,,0.8991,,,-0.95778,,,,,,-1.4761,,-4.296
SRP54,0.16647,,,-0.65244,,,,,1.2697,,,-1.9117,,,,,,-1.9878,,-4.6271
EIF2B3,-0.55259,-2.1933,,0.63248,,,,,0.46346,-1.6823,,-1.7852,,,,-0.083849,,0.97819,0.11305,-5.2189
GINS2,-0.55592,,,-1.8168,,,,,0.43606,,,-3.5346,,,,,,-0.93916,,-3.3419
SYMPK,-0.025235,,,0.93514,,,,,1.9007,,,-3.4483,,,,,,-0.32411,,-5.4133
LSM7,,-1.7212,,-0.4401,,,,,1.8411,-1.5258,,-3.0195,,,,0.16202,,0.0038522,0.18316,-1.7306
RNGTT,-0.088618,,,-0.84716,,,,,1.4424,,,-3.5873,,,,,,-0.41533,,-5.1847
HUWE1,1.3329,-2.4541,,-1.678,,,,,-0.22929,-2.2856,,-2.2344,,,,0.13797,,-1.7071,0.34845,-1.5028
DPH3,0.60288,-3.5225,,0.36103,,,,,0.57763,-3.9719,,-1.3511,,,,-0.22158,,-0.35909,-0.50372,-4.1087
TRAIP,0.84418,,,0.94607,,,,,2.7899,,,-1.3173,,,,,,-0.84046,,-2.7731
GTF2H4,-0.80384,,,1.1267,0.10458,,-0.12374,-0.47186,2.9853,,0.27319,-1.9144,-0.58357,-0.11768,-0.21334,,-0.87287,0.40485,,-3.1965
GNL3,2.3025,,,-0.48539,,,,,2.283,,,-3.4826,,,,,,-0.37001,,-4.6674
NCAPH2,-0.45251,-0.11092,,1.1789,,,,,1.6906,0.0063855,,-1.1535,,,,0.0075539,,-1.0558,0.18356,-3.4752
CDC7,-1.4194,-2.68,,-2.1211,,,,,-1.3138,-2.5865,,-3.4614,,,,-0.21021,,-0.6167,-0.22597,-2.8133
CCT2,-0.82149,,,0.031192,-0.74823,,-2.0225,0.26191,0.66572,,0.15142,-4.6096,-2.7954,-0.016784,-1.8084,,-2.4376,-0.019014,,-5.9073
EIF6,0.85446,-2.3045,,-0.61095,0.40318,,-1.1771,-0.47739,-0.16459,-2.3988,0.36797,-1.8943,-0.0025868,-0.049638,-0.85726,-0.029787,-1.6754,-1.8435,-0.062443,-5.9211
NOC4L,-0.21613,,,-0.17666,,,,,1.0311,,,-2.3627,,,,,,-0.058341,,-3.2518
HEATR1,0.54463,,,0.67332,,,,,0.015425,,,-2.5297,,,,,,0.30807,,-4.2878
CCT4,0.91494,,,0.70672,,,,,-0.07668,,,-2.5657,,,,,,-1.0967,,-4.0511
SEH1L,2.696,,,-0.38878,,,,,0.34071,,,-1.6162,,,,,,-0.27831,,-3.367
CIAO1,1.3754,-2.9025,,0.16011,,,,,1.2906,-2.5584,,-1.2869,,,,0.20964,,1.2887,0.54986,-4.6062
ERH,-0.17562,-0.88795,,1.9007,,,,,0.33582,-1.3701,,-3.6734,,,,0.050321,,0.27687,-0.31808,-5.5466
CHEK1,1.7419,-2.1639,,-1.7059,-0.37705,,-1.2092,-1.2754,0.36875,-2.8117,-0.39285,-3.4823,-1.8135,-0.10864,-1.1921,-0.012186,-2.9602,2.3139,-0.19839,-7.2081
SPATA5L1,3.0834,,,0.95466,,,,,1.556,,,-2.0964,,,,,,-1.0975,,-3.8343
PES1,0.010524,,,0.024764,,,,,1.5021,,,-4.0593,,,,,,-0.64791,,-5.0752
PSMB4,-0.10098,,,-0.36043,,,,,0.87734,,,-3.7699,,,,,,-0.057042,,-5.456
ILF2,-0.56523,,,0.49807,,,,,0.36653,,,-2.2455,,,,,,-0.21071,,-1.8756
POLR3H,0.6548,-3.6897,,1.3073,,,,,2.0739,-3.2551,,-3.8831,,,,-0.24182,,-2.3454,0.16379,-6.0096
PFN1,1.5633,,,0.76638,,,,,0.15791,,,-0.93733,,,,,,0.13613,,-2.252
TXNL4B,0.89274,-0.96259,,0.65778,,,,,2.6267,-0.86185,,-1.9262,,,,-0.028724,,0.2612,0.11916,-4.7727
RPS11,1.8617,,,0.0012996,,,,,0.44821,,,-4.0738,,,,,,,,-8.0507
GPN3,-0.32941,,,0.091821,,,,,-0.010134,,,-5.2273,,,,,,-0.64645,,-5.1345
TSR1,-0.83712,,,0.2382,,,,,2.1842,,,-3.2667,,,,,,0.62148,,-6.1034
NCKAP1,0.46618,-1.3043,,-1.1204,,,,,0.012129,-0.69841,,-1.4904,,,,-0.26615,,-0.037203,0.01737,-3.7106
VPS28,-0.25895,-2.1508,,-1.3162,,,,,0.37569,-2.3917,,-3.0982,,,,0.28481,,0.5606,0.27421,-3.543
NUP93,0.24964,,,1.6457,,,,,-0.73374,,,-2.7392,,,,,,0.94662,,-3.0209
SRRM1,-0.90939,,,-0.06647,,,,,-0.4042,,,-1.4098,,,,,,-0.027856,,-3.7128
SARS1,0.51804,,,-0.17298,,,,,0.97781,,,-3.9176,,,,,,1.682,,-4.079
LARS1,2.0617,-2.709,,-2.3183,,,,,1.2236,-3.263,,-2.8976,,,,-0.28087,,1.6932,-0.24496,-4.5343
RAD51C,0.028377,,,-0.44978,-0.26507,,-1.1343,-0.24477,1.2684,,0.20363,-1.377,-1.6373,-0.22827,-0.77001,,-0.32297,-1.2313,,-3.4916
NEDD1,2.3469,,,1.3567,,,,,1.0003,,,-3.6753,,,,,,0.7609,,-3.5978
LRR1,-0.50458,,,1.5531,,,,,2.459,,,-3.3565,,,,,,-0.15932,,-3.3288
UTP4,0.45251,,,1.429,,,,,0.98038,,,-2.9504,,,,,,-1.2137,,-4.846
WDR33,-0.095556,,,0.85137,,,,,2.7591,,,-4.0791,,,,,,-0.49689,,-6.7611
POP4,0.099269,,,-0.44455,,,,,1.2895,,,-0.83949,,,,,,0.19675,,-4.7877
SHQ1,0.046335,-1.8246,,-0.25102,,,,,1.363,-0.93074,,-1.5272,,,,0.12362,,-0.50036,0.29687,-3.5724
HGS,-0.2831,,,0.29416,,,,,-0.11152,,,-1.6469,,,,,,0.90752,,-4.0277
MAGOH,-0.32913,,,1.0904,,,,,2.2269,,,-2.5775,,,,,,-0.31126,,-3.6854
GRPEL1,0.341,,,1.7767,,,,,0.066785,,,-3.4904,,,,,,-0.30907,,-6.2826
ELMO2,0.2259,,,-0.30143,,,,,-0.59345,,,-1.3905,,,,,,0.47924,,-2.8173
RUVBL2,,,,-1.4345,,,,,2.1291,,,-3.1986,,,,,,0.59906,,-4.3982
CTU1,1.6191,,,-1.4994,,,,,0.79773,,,-1.1668,,,,,,-0.12167,,-3.4246
RPSA,1.9788,,,-0.51065,,,,,0.56232,,,-3.9188,,,,,,-0.010746,,-3.5483
RAE1,0.70766,,,0.29871,,,,,1.3153,,,-2.1571,,,,,,-0.16732,,-8.9804
SRSF1,1.4102,-4.2994,,-0.55483,,,,,0.38838,-3.7033,,-2.6346,,,,0.00034843,,-0.8517,0.46896,-4.217
COPA,-0.92273,-1.8824,,0.88518,,,,,-0.74029,-1.9711,,-3.7032,,,,0.20954,,-0.19147,0.29471,-2.9176
SMC6,-0.79157,,,-1.4762,-1.056,,-0.11107,-0.63411,3.5416,,0.11663,-0.98937,-0.75714,-0.013373,-0.18895,,-0.0075425,-1.0199,,-4.6127
GEMIN7,-1.017,,,0.41988,,,,,2.3977,,,-1.943,,,,,,-1.9191,,-4.0022
CFAP20,-1.4198,,,0.19692,,,,,2.0555,,,-0.068794,,,,,,-1.8243,,-1.0911
PWP2,-1.4421,-3.1133,,-0.26008,,,,,1.5667,-2.6858,,-2.2255,,,,-0.3219,,-1.0454,-0.032232,-3.6167
NMD3,-1.0264,,,-0.78796,,,,,1.3662,,,-1.1227,,,,,,-0.33044,,-4.2376
RIC8A,0.12131,,,0.1135,,,,,1.3872,,,-0.74582,,,,,,0.29726,,-1.5661
NAA10,0.50143,,,1.4695,,,,,2.393,,,-3.3724,,,,,,,,-5.2557
CFAP298,-0.093419,-1.1232,,0.02006,,,,,1.4862,-1.1924,,-3.3942,,,,-0.059724,,-0.19473,-0.13358,-3.3174
TIPARP,-1.4421,0.041228,,-0.035522,,,,,0.53415,0.11618,,-0.6165,,,,-0.46339,,1.0818,-0.31529,-3.8134
ANAPC4,-1.2445,,,-0.17708,,,,,2.0984,,,-1.498,,,,,,-3.6723,,-3.9244
MRTO4,0.47977,,,-0.13342,,,,,2.012,,,-0.68308,,,,,,-1.1765,,-2.7936
EIF3I,-0.048827,-2.34,,-1.3774,,,,,1.227,-2.1797,,-3.3728,,,,0.19211,,-0.99097,0.42758,-4.0074
ETF1,1.3949,,,0.41414,,,,,0.2975,,,-3.311,,,,,,-0.40749,,-4.3629
RNMT,-0.11825,-1.5429,,0.73991,-0.72805,,-0.16585,-0.93874,0.58694,-1.496,0.38465,-3.2204,-2.1733,0.12869,-0.91596,0.016002,-1.9087,-0.74666,-0.0043061,-3.7634
DDX10,1.5664,,,0.30216,,,,,1.5774,,,-2.9077,,,,,,-1.0927,,-3.8782
BUD31,,,,-0.060334,-0.67654,,-0.99342,-0.91596,0.95946,,0.29999,-2.8939,-1.8567,-0.042345,-0.78968,,-1.6478,-0.76145,,-4.1107
ANAPC11,-0.54883,-2.4666,,-1.8639,,,,,2.2323,-2.6091,,-3.063,,,,0.056693,,-1.2339,0.16691,-3.5084
RPS8,,,,-0.68664,,,,,1.9677,,,-2.3216,,,,,,-0.64253,,-3.7015
DDOST,-2.0991,,,-0.068179,-0.17488,,-0.259,0.60915,0.73132,,0.33241,-2.4199,-1.7019,0.066921,-0.66421,,-1.5106,0.38801,,-5.5458
ROMO1,1.8566,,,-0.13703,,,,,0.93593,,,-0.85159,,,,,,-1.2412,,-2.2504
TOMM40,0.78193,,,1.1026,,,,,0.74375,,,-1.424,,,,,,-0.95284,,-1.7824
MOCS3,0.37202,,,0.34191,,,,,1.6663,,,-1.4014,,,,,,0.039661,,-5.3328
RPL11,,,,0.63982,,,,,2.0604,,,-3.4606,,,,,,-0.48801,,-4.7975
C1orf109,-2.2654,,,-0.089171,,,,,1.2833,,,-0.68412,,,,,,-0.8316,,-3.8791
PRMT5,1.2041,,-0.22519,-1.5175,,-1.7213,,,0.97498,,,-2.0666,,,,,,0.60187,,-6.7365
NOP16,1.1564,-3.4406,,1.5657,,,,,1.432,-3.0796,,-2.5682,,,,0.030895,,-0.41774,-0.025295,-2.9891
EIF2B5,0.97946,,,-2.4334,,,,,2.5194,,,-3.0018,,,,,,0.0031184,,-4.4407
RPL23,-0.62987,-4.7956,,2.4311,,,,,-0.4721,-5.2758,,-2.7093,,,,-0.14042,,-0.6651,-0.06106,-6.1947
ACTR2,-0.14873,,,-0.029526,,,,,1.0327,,,-3.1769,,,,,,,,-6.0178
TXNL4A,,,,1.5924,,,,,2.4327,,,-2.4615,,,,,,1.8859,,-7.6649
HYOU1,-1.3936,,,0.29536,,,,,-0.036502,,,-1.8038,,,,,,2.1131,,-6.2569
PLK4,0.17151,,,0.49717,,,,,1.1006,,,-0.93234,,,,,,-1.2094,,-2.6309
SSRP1,1.1127,,,-1.8444,,,,,0.73765,,,-2.2969,,,,,,1.529,,-4.7291
TAF2,-0.13185,,,0.56483,,,,,1.5767,,,-1.351,,,,,,-0.11092,,-2.0268
PSMD4,-0.85661,-2.1838,,-0.34815,,,,,0.91448,-2.888,,-2.7787,,,,0.072291,,-0.68194,-0.23616,-4.4771
PSMA3,0.036446,,,-0.60711,,,,,-0.38564,,,-4.292,,,,,,0.43279,,-4.418
ARPC4,1.5537,,,-0.032585,,,,,1.3741,,,-2.2129,,,,,,0.65628,,-3.978
PHF5A,0.24004,-2.5,,1.3163,,,,,0.97817,-3.6138,,-3.155,,,,0.10025,,-0.81274,-0.45003,-5.5503
TSEN54,-1.0336,,,-0.17806,,,,,0.63668,,,-2.6915,,,,,,-0.080189,,-4.1283
NOL10,,,,0.73287,,,,,1.4916,,,-2.6453,,,,,,-1.2718,,-6.2385
WDR77,-1.0978,,,-1.3157,,,,,-0.85475,,,-1.8335,,,,,,-0.71316,,-4.1258
DARS1,1.0015,,,1.1242,,,,,0.48432,,,-1.5691,,,,,,-2.2764,,-3.5059
HAUS1,-0.42457,,,-0.95556,,,,,1.1037,,,-0.72038,,,,,,0.36414,,-2.8177
MCM3,0.72784,,,-0.20872,,,,,0.86502,,,-1.0002,,,,,,1.4171,,-6.938
FXN,0.97463,,,0.47406,,,,,2.3271,,,-1.9658,,,,,,-0.75629,,-4.7391
INTS5,0.719,,,-0.66808,,,,,-0.55474,,,-2.2466,,,,,,1.337,,-2.6424
PSMB1,-0.33561,,,2.1458,,,,,-0.93497,,,-3.3392,,,,,,0.22949,,-3.5293
PTPMT1,1.8792,-2.897,,1.0487,,,,,2.3475,-2.6616,,-0.79908,,,,0.014504,,-0.81858,0.14546,-4.0996
MARS2,,-3.0722,,1.5638,,,,,1.1165,-3.085,,-0.28576,,,,-0.1793,,-0.28916,-0.056631,-1.5201
CDC37,3.8545,,,0.099156,,,,,1.0296,,,-2.933,,,,,,0.36508,,-2.7349
RFC2,0.69157,,,-0.3094,0.28018,,-0.85579,-1.0562,1.0708,,0.15886,-2.0378,-0.90236,-0.040802,-0.66878,,-1.3395,-0.85364,,-5.0589
UVRAG,-1.1157,,,-1.3483,,,,,-0.36078,,,-0.65996,,,,,,0.34161,,-1.8383
MYC,0.88281,,,4.5384,0.1206,,-0.89899,1.355,1.5442,,0.16749,-2.6669,-1.8052,0.74351,-1.5201,,-2.1168,0.49846,,-3.7128
CLP1,-0.019836,,,-0.59197,,,,,0.9398,,,-1.8465,,,,,,-1.1633,,-4.8875
ELP6,0.64539,,,2.0138,,,,,0.8616,,,-1.8962,,,,,,-0.56344,,-3.797
HNRNPU,,,,1.2563,,,,,1.4611,,,-2.1715,,,,,,-0.31737,,-2.8771
PSMD13,-0.86771,,,-1.5676,,,,,0.90745,,,-2.5964,,,,,,0.24917,,-3.1813
RPF2,2.6282,-3.1126,,1.5272,,,,,1.9998,-3.0748,,-2.4598,,,,0.1494,,-1.1472,-0.12573,-4.7154
PSMA4,-0.3805,-1.8048,,0.52864,,,,,1.3552,-2.0312,,-5.3561,,,,0.15247,,-2.296,-0.26433,-6.4615
NAA20,-1.6122,-0.52371,,0.66406,,,,,1.2603,-0.56193,,-2.751,,,,0.11828,,-0.034597,-0.0076362,-3.9862
RPS2,-0.68496,,,-1.9211,,,,,0.27884,,,-3.1784,,,,,,-1.3822,,-4.3864
EIF3F,0.51537,,,1.1532,,,,,0.51024,,,-1.8378,,,,,,0.36809,,-4.1691
ITGB5,-0.60176,,,0.6781,,,,,-1.0356,,,-2.8398,,,,,,0.23017,,-4.6798
LTO1,0.60276,,,-0.40301,0.18845,,-1.0908,0.17624,1.7671,,0.19186,-2.9808,-1.1492,-0.079416,-1.1475,,-1.5705,0.028868,,-4.9679
DOLK,0.8723,,,0.66355,,,,,2.0837,,,-0.34972,,,,,,-1.4315,,-5.4547
NUP160,1.2202,,,0.14959,,,,,-1.5929,,,-2.5746,,,,,,0.33571,,-3.3855
ATP6V0C,0.68053,-2.8641,,1.8351,,,,,0.83248,-2.5665,,-2.0517,,,,0.29728,,1.5941,0.50203,-5.9976
PSMB3,-0.38088,,,0.82863,,,,,-0.0093344,,,-3.5585,,,,,,,,-7.1176
RRM1,-0.49518,,,-3.2582,0.34463,,-1.2565,-0.76537,0.65987,,-0.26574,-2.5455,-1.2842,0.17397,-1.5045,,-1.9145,0.045892,,-4.1417
ORC5,-0.41256,,,-0.99968,,,,,2.0275,,,-1.4266,,,,,,-0.4767,,-2.7539
TSR2,1.4825,-4.0569,,1.7593,,,,,1.936,-3.7869,,-3.3657,,,,0.28611,,0.25865,0.8734,-7.6754
PNO1,-1.4308,,,-0.55482,,,,,1.7249,,,-1.7883,,,,,,-2.1642,,-4.5272
PPP1R11,-0.17145,,,0.0083838,,,,,1.189,,,-1.122,,,,,,-0.036278,,-1.6449
FERMT2,0.79838,,,-1.1074,,,,,-0.041316,,,-1.3922,,,,,,0.61971,,-3.9359
VCP,,-2.5337,,-0.6963,-0.0076237,,-0.61474,-0.56315,2.6962,-3.144,0.30707,-2.2597,-0.63915,0.015397,-0.50805,0.060565,-0.50926,,0.026926,-5.0531
RUVBL1,0.59988,-4.1221,,2.5736,,,,,3.039,-4.5017,,-4.6622,,,,0.13215,,,-0.33758,-7.7647
IARS1,0.2181,,,1.1449,,,,,1.6672,,,-3.6276,,,,,,-2.3834,,-8.388
SNU13,-0.087479,,,1.5032,,,,,0.983,,,-3.8543,,,,,,-0.46158,,-4.0871
NSF,0.36521,,,-0.035531,,,,,0.17238,,,-3.1294,,,,,,-1.2204,,-4.7032
GNL2,0.57878,-1.4935,,-0.1402,,,,,0.83177,-1.3059,,-1.8533,,,,-0.14142,,-0.49933,0.14254,-1.5857
CDC20,1.1724,-2.9723,,-1.2059,,,,,-0.26045,-2.1784,,-2.0931,,,,-0.070482,,-0.92018,-0.031471,-3.5906
POLR2L,-0.80384,,,-1.8289,,,,,1.9655,,,-5.507,,,,,,0.72575,,-6.7305
RRM2,-1.5848,,,0.026343,0.18957,,-0.90268,-0.92284,0.016877,,-0.83353,-1.4489,-1.3423,0.25596,-1.4622,,-1.8048,0.038029,,-1.9907
RPL13,-0.45015,,,1.8513,,,,,1.5842,,,-4.2655,,,,,,-1.2408,,-4.4045
TRIO,0.18003,,,0.5106,,,,,-0.23608,,,-0.61509,,,,,,-0.15451,,-1.7192
DDX6,-0.79807,-1.0166,,1.9664,,,,,0.47176,-0.96862,,-2.8674,,,,-0.13027,,0.13712,-0.033881,-5.1828
ATXN7L3,0.011755,-1.0986,,0.12369,,,,,1.0433,-1.5105,,-0.42965,,,,0.068674,,-0.14568,0.12594,-1.5473
RPL14,-1.2491,,,0.83678,,,,,0.83314,,,-3.3188,,,,,,-0.99297,,-3.2513
LONP1,1.0254,,,1.887,,,,,1.5446,,,-2.2912,,,,,,0.19515,,-4.6381
