gene,SchleicherMoldovan2020.NT1-VE822,DeWeirdtDoench2020_secondary.pDNA_pDNA-Control_S63845,VermaGreenberg2021.CAPAN1_T7_UT-CAPAN1_T7_OLA,BenslimaneHarrington2020_jurkat.DMSO_D12-Resveratrol_D12,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_Camp_1,VermaGreenberg2021.SUM149PT_T7_UT-SUM149PT_T7_OLA,SuChen2020.HCT116_WT_T0_2-HCT116_WT_Olap_2,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_MitoC_1,WeegenLuijsterburg2021.wt_illudins-elof1_illudins,DeWeirdtDoench2020_secondary.pDNA_pDNA-MCL1KO_anchor_Dropout,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_HU_1,WeegenLuijsterburg2021.elof1_init-elof1_nt_both,SuChen2020.HEK293A_WT_T0_1-HEK293A_WT_Camp_1,SuChen2020.HCT116_WT_DMSO_2-HCT116_WT_Olap_2,SuChen2020.HCT116_TP53ko_T0_2-HCT116_TP53ko_DMSO_2,DeWeirdtDoench2020_secondary.Control_Dropout-Control_S63845,SuChen2020.HEK293A_WT_T0_1-HEK293A_WT_CHK1i_1,GalloDurocher2022_TKOv2.WT_T18-CCNE1_T18,DeWeirdtDoench2020_secondary.Control_Dropout-MCL1KO_anchor_Dropout,GalloDurocher2022_TKOv2.WT_T0-WT_T18
TMED10,0.5,,,0.19,,,,,1.99,,,-0.54,,,,,,-0.99,,0.17
RNASEH2B,-0.31,,,-0.48,-1.01,,-0.11,-0.41,2.12,,-2.36,0.12,-0.01,-1.3,0.56,,0.43,-9.67,,-0.17
UBE2M,1.34,,,-1.18,,,,,3.35,,,-1.08,,,,,,-13.72,,0.59
FANCB,-0.32,,,0.91,-2.01,,0.12,-0.86,1.23,,-0.46,0.28,-0.56,-1.23,0.93,,0.34,0.61,,-0.12
NF2,1.93,3.9,,-1.39,,,,,0.48,2.21,,3.67,,,,3.24,,-1.14,-6.76,4.23
FANCF,-0.84,,,0.04,-3.22,,-2.51,-4.04,-1.36,,-0.05,0.1,-1.79,-4.24,0.3,,-0.16,1.02,,-0.13
NBN,0.26,0.63,,-1.25,-0.4,,-0.01,0.95,1.04,0.37,-0.44,-0.03,-0.03,-0.67,0.49,0.16,0.22,0.19,-1.11,-0.16
AUNIP,-1.15,,,0.37,,,,,1.77,,,0.12,,,,,,0.21,,-0.23
BLM,-0.32,,,0.54,0.03,,-0.1,-1.72,2.37,,0.82,0.23,-0.49,0.42,-0.41,,-0.67,-3.77,,-0.07
CHD1L,-0.01,0.31,-2.23,0.15,,-3.7,,,0.8,0.25,,0.36,,,,0.43,,-0.54,-0.13,0.47
RMI2,-1.17,,,1.14,-1.35,,0.12,-1.09,-0.75,,-0.52,0.4,-0.86,0.26,0.14,,-0.78,-2.69,,0.2
XRCC1,0.36,0.02,,-0.2,-1.83,,-0.85,0.95,3.53,0.18,-0.48,0.38,-1.09,-2.14,0.6,-1.52,-0.24,-2.73,0.12,-0.49
INTS10,1.59,,,-1.93,,,,,3.97,,,-1.22,,,,,,-0.4,,0.74
INTS14,0.1,,,-1.09,,,,,2.07,,,-0.44,,,,,,0.27,,0.93
TAOK1,-0.63,2.86,,-1.47,,,,,0.03,2.72,,1.83,,,,2.57,,-5.88,-0.71,3.29
AHR,0.12,,,-1.0,,,,,-1.68,,,2.94,,,,,,-1.12,,3.38
GABRA3,1.25,,,0.2,,,,,-1.37,,,0.71,,,,,,0.15,,0.6
RMI1,1.4,,,0.76,-0.65,,0.19,-1.24,2.48,,-0.01,-0.09,-0.23,0.51,-0.17,,0.02,-1.39,,-0.3
FANCD2,-2.06,,,-0.22,-2.34,,-0.81,-1.82,0.31,,0.28,-0.02,-1.71,-1.45,0.39,,-0.47,0.03,,-0.74
CYRIB,1.99,,,0.91,,,,,1.52,,,0.85,,,,,,-3.61,,2.63
FANCI,-0.03,,,1.04,-1.15,,-0.33,-1.79,0.75,,-1.01,0.26,-0.18,-1.4,0.38,,0.31,-1.68,,1.61
WDR48,-1.59,,,-0.32,-0.25,,-0.27,-0.7,-1.49,,0.93,0.13,-0.1,-0.69,0.65,,0.42,0.67,,0.11
KCTD17,1.3,,,1.01,,,,,-0.35,,,0.02,,,,,,0.63,,0.14
APEX1,-1.21,,,1.61,0.25,,1.36,0.25,1.02,,0.32,0.47,0.49,2.15,0.55,,0.51,-1.67,,-0.06
FAAP100,-0.27,0.05,,-0.39,-1.93,,-1.34,-2.27,1.03,-0.33,-0.49,0.39,-1.32,-2.32,0.35,0.34,-0.74,0.75,-1.21,-0.48
C7orf26,-0.82,-0.83,,,,,,,,-1.09,,,,,,1.42,,2.73,0.1,-1.56
C16orf72,1.46,,,,,,,,,,,,,,,,,-3.81,,1.42
EXOC5,-1.11,,,-1.06,,,,,1.19,,,-1.38,,,,,,0.5,,-2.04
PPP1R12A,-1.8,,,0.31,,,,,2.57,,,-2.37,,,,,,-2.31,,-4.0
CAB39,0.32,,,-0.68,,,,,1.78,,,1.58,,,,,,-7.66,,3.45
CUL3,0.34,3.22,,0.38,0.92,,-0.1,-0.31,4.01,1.67,-0.39,0.18,-0.06,-0.26,0.71,4.78,-1.15,-8.72,-5.23,1.07
EXT1,-4.57,,,-1.23,,,,,0.1,,,0.26,,,,,,-2.34,,0.88
COPS8,-0.9,,,-1.77,,,,,1.55,,,-1.63,,,,,,-2.96,,-0.89
RAD18,0.15,,,1.28,-0.81,,0.65,-1.85,3.31,,0.04,0.31,0.03,-0.26,0.61,,0.22,-1.71,,0.22
RNASEH2A,-0.54,,,-1.1,,,,,3.23,,,-0.11,,,,,,-7.77,,-0.43
RAP2B,0.36,,,1.37,,,,,-0.8,,,0.68,,,,,,-0.59,,0.75
COPS4,1.67,,,0.9,,,,,1.67,,,-1.81,,,,,,-3.59,,-0.62
HELQ,-2.2,,,0.42,-1.09,,-0.12,-3.13,-0.8,,0.12,0.15,-0.11,-1.15,0.45,,0.68,-0.05,,0.3
APEX2,0.64,,,-2.04,0.5,,-1.18,1.59,3.97,,-0.48,-1.09,0.71,-0.59,-0.22,,0.37,-0.7,,-0.33
ETAA1,-2.0,,,-0.87,-3.37,,-0.67,-3.12,1.0,,-2.91,-0.52,-1.27,-1.37,0.25,,0.35,-1.67,,1.07
EP300,-0.47,0.87,0.67,0.31,,-1.51,,,1.87,0.81,,-0.04,,,,-0.48,,0.79,-0.72,0.27
IRF2,0.08,,,-0.2,,,,,1.97,,,0.88,,,,,,-1.35,,0.1
TRAIP,1.03,,,0.35,,,,,2.51,,,-1.99,,,,,,-1.54,,-2.81
DDIAS,-0.01,,,-0.07,,,,,0.6,,,0.29,,,,,,1.77,,-0.6
EXO1,2.09,,,-0.39,0.1,,0.13,0.28,4.01,,-1.05,0.45,0.39,-0.82,0.82,,0.47,-1.05,,-0.03
DSCC1,0.35,,,-0.53,,,,,2.87,,,-0.7,,,,,,-8.16,,-0.86
NRP1,1.88,,,-0.15,,,,,1.5,,,1.75,,,,,,0.54,,1.39
UBE2H,0.28,,,-1.93,,,,,-2.18,,,-0.63,,,,,,0.85,,-0.66
GABPB1,-0.27,,,0.55,,,,,2.46,,,-1.11,,,,,,-1.66,,-1.83
TMED2,0.44,,,-2.21,,,,,2.82,,,-0.8,,,,,,-1.02,,0.27
RNF215,-0.17,0.9,,-0.15,,,,,0.66,0.91,,-0.03,,,,0.24,,1.32,-0.17,-0.45
COPS3,-2.2,,,-0.47,,,,,1.4,,,-2.14,,,,,,-2.66,,-1.43
PDCD10,0.5,2.0,,-2.91,,,,,-2.2,1.93,,1.73,,,,1.02,,-5.55,-0.71,3.14
SLC25A28,-1.31,,,0.55,,,,,1.88,,,-1.53,,,,,,-0.65,,-1.63
LMNB1,0.42,,,-2.62,,,,,-0.77,,,-1.78,,,,,,-2.73,,-0.91
THSD4,0.22,,,0.63,,,,,-1.04,,,0.47,,,,,,-0.54,,0.21
FZR1,-2.66,,,-0.56,,,,,2.08,,,-0.07,,,,,,-1.75,,-1.31
CENPX,-0.47,,,-0.71,,,,,0.12,,,0.34,,,,,,-1.75,,-0.13
BTAF1,1.08,,,0.6,,,,,2.18,,,-2.3,,,,,,-1.66,,0.13
POLE3,0.62,,,1.2,-3.67,,-1.81,-2.29,0.51,,-1.48,-0.14,-2.01,-2.76,0.21,,-0.75,-2.9,,0.16
RBBP8,-0.12,,,-0.45,-1.01,,-0.18,-1.21,1.8,,-0.54,-1.45,-0.96,-0.44,-0.16,,-0.34,0.5,,-1.22
SLX9,1.25,,,-0.14,,,,,0.21,,,0.7,,,,,,-1.89,,-0.36
ULK3,-0.48,,,-1.12,,,,,0.08,,,0.8,,,,,,-1.7,,0.78
IL27RA,0.84,,,-0.01,,,,,0.62,,,-0.1,,,,,,-0.96,,0.64
SIVA1,0.09,,,0.06,,,,,0.34,,,-0.32,,,,,,1.65,,-1.1
UBE2K,-1.28,0.89,,0.38,,,,,2.4,1.14,,0.97,,,,-1.4,,-1.82,0.07,0.88
ACTB,0.81,,,1.03,,,,,-0.07,,,-0.8,,,,,,-9.12,,1.36
PPP1R3G,0.28,,,0.51,,,,,-0.94,,,0.51,,,,,,1.95,,-0.73
PHIP,0.22,,-1.46,-0.27,,-0.47,,,-1.67,,,0.21,,,,,,1.61,,-0.81
TMEM209,-0.19,,,0.36,,,,,-1.91,,,-0.38,,,,,,-0.9,,-0.46
SERTAD2,0.48,,,-0.15,,,,,-0.66,,,0.04,,,,,,-0.49,,0.72
RB1CC1,1.02,0.47,,-0.79,,,,,2.01,0.37,,0.92,,,,0.17,,-0.44,-0.47,1.16
MMRN2,-0.37,,,-0.8,,,,,0.18,,,0.01,,,,,,0.72,,-0.03
WDR26,1.26,-1.06,,-3.45,,,,,-1.61,-0.89,,-0.46,,,,-0.83,,0.92,0.6,-0.7
RALGAPB,-1.99,,,0.66,,,,,1.16,,,0.89,,,,,,-2.56,,1.67
LCMT1,0.06,,,1.02,,,,,1.87,,,0.25,,,,,,1.63,,0.09
PLXNA1,0.4,,,0.08,,,,,0.2,,,1.03,,,,,,-1.49,,1.58
POLA2,0.95,,,0.86,,,,,-0.02,,,-3.22,,,,,,-4.19,,-1.69
MRPS18C,-0.66,,,-1.43,,,,,1.51,,,-0.07,,,,,,-0.44,,-0.51
GLE1,2.25,,,-0.12,,,,,0.27,,,-2.19,,,,,,0.2,,-2.11
NXT1,-0.58,,,1.39,,,,,1.02,,,1.31,,,,,,-1.37,,1.31
BRAP,-0.13,,,0.38,,,,,1.41,,,-0.14,,,,,,-0.79,,0.14
NKTR,-0.65,,,-0.22,,,,,2.61,,,1.07,,,,,,0.58,,-0.21
TAPT1,-1.5,,,1.78,,,,,1.44,,,-0.48,,,,,,0.12,,-0.99
CCNC,1.67,0.63,,1.62,,,,,2.27,0.32,,-0.42,,,,1.57,,3.7,-0.69,0.86
CTDSPL2,-1.85,,,0.44,,,,,3.51,,,0.36,,,,,,-4.28,,0.51
SLC6A8,1.24,,,0.59,,,,,0.68,,,-0.55,,,,,,0.38,,-0.26
ARMS2,0.73,,,-3.02,,,,,0.31,,,0.41,,,,,,-2.12,,0.6
ZBTB11,0.13,,,-1.13,,,,,1.93,,,-2.79,,,,,,-1.02,,-3.61
ARHGAP9,-0.16,,,-0.17,,,,,-0.46,,,-0.13,,,,,,-1.62,,0.57
LINC02905,,,,0.78,,,,,0.22,,,0.28,,,,,,-1.24,,1.78
HELLS,0.79,0.34,-2.14,-0.2,,1.15,,,0.68,0.37,,0.14,,,,0.31,,-2.12,0.15,-0.24
GABPA,-0.03,,,-0.23,,,,,1.37,,,-1.17,,,,,,-0.08,,-1.87
OTUD7A,0.11,,,0.12,,,,,0.36,,,0.7,,,,,,-0.79,,0.06
DND1,1.33,,,-0.54,,,,,-0.0,,,-1.07,,,,,,1.55,,-0.91
PRRT2,-0.62,,,1.53,,,,,-1.39,,,0.5,,,,,,-0.14,,1.07
MAP4K4,0.38,,,1.33,,,,,1.4,,,0.89,,,,,,-1.66,,2.17
FAM47E-STBD1,-0.36,,,-1.34,,,,,0.15,,,0.31,,,,,,0.0,,0.55
KRT13,-0.56,,,-3.34,,,,,-0.88,,,0.13,,,,,,0.2,,0.53
USP9X,-2.16,,,-1.32,,,,,0.21,,,0.11,,,,,,0.1,,0.41
BICC1,-0.67,,,1.41,,,,,0.31,,,0.25,,,,,,0.25,,0.56
SGTA,1.01,,,-0.22,,,,,-1.54,,,0.09,,,,,,-0.47,,0.05
CHP2,0.05,,,-4.21,,,,,-0.26,,,0.41,,,,,,-1.62,,-0.04
NAA38,0.54,,,0.67,,,,,0.84,,,-3.51,,,,,,0.56,,-4.06
GPS1,-2.17,,,-0.82,,,,,1.45,,,-2.67,,,,,,-0.78,,-1.42
GFRAL,0.76,,,0.56,0.24,,0.97,0.5,-0.15,,-0.71,0.32,0.95,0.42,0.7,,0.9,0.78,,0.14
CLSPN,-0.09,,,0.81,,,,,0.46,,,-1.47,,,,,,-0.81,,-1.23
NPIPB5,0.67,,,-0.79,,,,,-0.41,,,0.4,,,,,,1.36,,-0.2
PCBP1,1.78,,,0.04,,,,,3.65,,,-0.98,,,,,,0.26,,-2.27
ACTG1,1.71,,,1.61,,,,,0.48,,,-0.79,,,,,,-9.44,,1.1
DCTPP1,0.66,,,-0.33,,,,,-0.92,,,-0.08,,,,,,0.27,,0.66
EIF2AK4,-1.44,,,2.51,,,,,3.1,,,-0.05,,,,,,-4.23,,0.1
PGD,1.36,-1.19,,-0.04,,,,,1.04,-1.09,,-0.87,,,,0.17,,-1.93,0.91,-0.38
SPON2,-0.37,,,0.31,,,,,0.52,,,-0.01,,,,,,0.96,,1.49
ARIH2,-0.91,,,1.78,,,,,0.74,,,0.83,,,,,,-1.28,,1.32
NR2C1,-0.16,,,2.18,,,,,1.67,,,0.32,,,,,,0.23,,0.54
HSP90B1,1.54,,,-0.23,,,,,-0.8,,,-0.74,,,,,,1.14,,-2.71
ABHD15,0.45,,,-0.19,,,,,0.48,,,-0.21,,,,,,0.38,,-0.08
KCTD5,1.38,,,1.16,,,,,-0.98,,,1.9,,,,,,-1.28,,1.78
DIO2,-0.09,,,-0.72,,,,,-0.14,,,0.32,,,,,,0.11,,-0.1
RAB34,-0.86,,,0.53,,,,,0.37,,,-0.63,,,,,,-1.49,,-0.02
KCTD10,1.08,1.16,,-1.69,,,,,-0.31,0.66,,0.57,,,,0.68,,-0.81,-2.03,0.11
SNAPC3,-0.92,,,-1.02,,,,,0.94,,,-4.33,,,,,,-0.45,,-3.05
SERF2,-2.84,,,-0.14,,,,,1.06,,,0.48,,,,,,-0.89,,0.04
CNOT6L,-0.35,,,0.22,,,,,1.58,,,0.18,,,,,,0.22,,-0.08
OR10H4,-0.98,,,-0.68,,,,,0.48,,,0.31,,,,,,0.63,,-0.08
PPM1B,-0.66,,,-0.27,,,,,0.22,,,0.34,,,,,,0.45,,0.85
THEMIS2,-2.87,0.68,,1.36,,,,,-0.32,0.67,,-0.05,,,,-0.06,,0.76,-0.31,-0.28
DHRS13,0.31,,,0.13,,,,,-2.81,,,0.2,,,,,,-1.21,,0.14
TRIP4,0.01,,,-0.65,0.13,,0.78,-0.39,-0.95,,-0.69,0.36,1.03,0.45,0.58,,1.28,-0.48,,1.26
PTPN14,0.17,1.71,,-0.05,,,,,-1.06,1.83,,1.46,,,,1.47,,0.15,0.3,1.76
RRS1,-0.19,,,-1.12,,,,,1.09,,,-3.33,,,,,,-0.12,,-2.97
ZMIZ1,0.78,,,-0.68,,,,,-0.54,,,-0.17,,,,,,-3.39,,0.51
PEF1,-0.96,,,0.72,,,,,-0.01,,,-0.33,,,,,,0.2,,0.26
MERTK,0.92,,,-0.72,,,,,-0.53,,,0.23,,,,,,0.72,,0.45
KAT7,0.16,,0.41,-1.17,,0.03,,,1.57,,,0.05,,,,,,-2.77,,-0.2
AMPH,1.75,,,0.55,,,,,-0.11,,,0.76,,,,,,-0.41,,0.72
SPNS3,-0.09,,,-1.53,,,,,-0.23,,,0.21,,,,,,-0.21,,0.66
TGM7,0.96,,,-2.15,,,,,0.32,,,0.52,,,,,,-1.08,,0.41
VPS72,-0.47,,,-1.03,,,,,1.55,,,-1.64,,,,,,0.61,,-1.43
USP34,-1.67,,,0.64,,,,,-0.76,,,0.1,,,,,,-0.54,,0.25
CNOT4,-1.22,-0.06,,-1.71,,,,,-2.52,-0.37,,0.8,,,,-0.44,,-2.05,-1.22,1.17
GRPR,-0.59,,,1.52,,,,,-0.67,,,0.29,,,,,,-0.89,,0.61
FEN1,0.88,,,0.32,0.06,,-1.4,0.98,1.79,,0.41,-1.06,-1.0,-0.42,-0.86,,-1.7,-3.66,,-1.8
SPATA5L1,3.63,,,1.63,,,,,1.87,,,-2.25,,,,,,-0.75,,-3.51
INTS13,-2.29,,,-1.77,,,,,3.22,,,-1.6,,,,,,1.54,,-0.46
TCF7L2,0.23,,,-0.17,,,,,-0.01,,,0.69,,,,,,-1.88,,0.62
NFYB,0.47,,,0.38,,,,,1.41,,,0.0,,,,,,-0.91,,0.33
SLF1,-1.48,,,1.34,,,,,1.67,,,0.22,,,,,,-1.83,,0.59
SNAPC5,-0.06,,,-0.23,,,,,2.26,,,-0.72,,,,,,-1.36,,0.81
CTNS,0.4,,,-0.58,,,,,0.55,,,0.33,,,,,,-1.29,,1.76
EAPP,1.97,,,1.56,,,,,1.97,,,-0.5,,,,,,0.76,,-1.67
ARFRP1,-1.49,-1.64,,1.1,,,,,0.2,-1.4,,-2.45,,,,0.07,,0.52,1.4,-5.55
MTSS2,0.42,,,-0.94,,,,,-0.23,,,0.27,,,,,,-0.12,,-0.55
HUS1,-1.35,,,-5.9,-0.27,,-1.29,-0.66,2.0,,-1.15,-1.2,-1.11,-0.49,-1.01,,-1.13,-2.03,,-1.27
HSPA4,0.19,,,-0.06,,,,,1.3,,,0.42,,,,,,2.64,,0.09
NAE1,0.67,,,1.23,,,,,0.88,,,-1.23,,,,,,-5.99,,-0.4
SEC13,1.79,,,-2.04,,,,,0.07,,,-2.94,,,,,,-0.66,,-4.57
GPR39,1.01,,,-0.15,,,,,-0.85,,,0.31,,,,,,1.09,,-1.35
LIG1,0.71,-0.04,,0.37,2.73,,-0.58,1.66,1.34,-0.2,1.59,0.12,1.78,-1.3,0.47,-0.13,0.76,0.5,-0.56,0.37
B4GALT7,1.58,,,1.61,,,,,-1.07,,,-0.32,,,,,,-2.73,,-0.49
AASDH,1.15,0.2,,0.65,,,,,0.45,0.09,,0.58,,,,0.11,,-0.81,-0.38,0.96
CACNA1S,0.77,,,0.06,,,,,-0.48,,,-0.16,,,,,,0.09,,0.18
ENC1,-1.58,,,0.72,,,,,0.14,,,0.64,,,,,,-0.79,,0.54
PCGF1,0.12,,,1.86,,,,,1.23,,,1.57,,,,,,2.1,,1.0
RASGEF1C,-1.33,,,0.16,,,,,-0.06,,,0.23,,,,,,0.45,,0.3
MCPH1,0.51,,,-0.37,,,,,1.1,,,-0.82,,,,,,0.33,,-0.36
RAB11FIP3,0.63,,,0.98,,,,,0.26,,,0.52,,,,,,1.46,,-0.06
PIMREG,-0.54,,,0.38,,,,,0.94,,,0.07,,,,,,0.01,,0.04
CFL1,1.15,,,1.78,,,,,0.42,,,-0.13,,,,,,-1.49,,0.26
RUNX1,0.38,,,1.49,,,,,-1.97,,,1.79,,,,,,-3.15,,1.54
OR9K2,1.71,,,-1.09,,,,,0.51,,,0.23,,,,,,-0.2,,0.87
LIG3,-1.4,,,0.62,-0.6,,-1.37,0.84,0.98,,0.71,0.26,-0.7,-1.7,-0.07,,-0.15,-1.04,,-0.72
LATS2,-0.1,,,-1.35,,,,,-4.01,,,1.13,,,,,,-1.78,,1.74
MED17,0.59,,,0.7,,,,,1.76,,,-3.04,,,,,,0.33,,-1.7
PUM1,-0.05,,,1.71,,,,,2.42,,,-0.25,,,,,,-1.44,,0.2
KRT36,-0.61,,,1.44,,,,,0.16,,,0.27,,,,,,1.33,,0.62
CTNNB1,-0.49,,,0.02,,,,,-0.06,,,0.14,,,,,,0.57,,-0.78
THBS1,,,,0.11,,,,,-0.79,,,-0.02,,,,,,-1.67,,1.08
PDIA6,1.06,,,-0.26,,,,,-0.33,,,0.47,,,,,,-0.38,,0.88
THSD7B,0.76,,,-1.5,,,,,0.07,,,0.21,,,,,,-1.0,,0.52
MGAT3,0.92,,,-1.82,,,,,-1.34,,,0.12,,,,,,1.24,,-0.04
THADA,-1.78,,,-0.24,,,,,0.26,,,0.38,,,,,,-0.48,,0.33
RINT1,-0.26,,,-1.32,,,,,-0.4,,,-1.68,,,,,,-0.43,,-1.27
GALNT15,-0.53,,,0.06,,,,,-0.38,,,0.1,,,,,,1.05,,-0.34
NUFIP1,0.52,,,-0.73,,,,,1.25,,,-2.15,,,,,,-1.17,,-1.07
RIC8B,-1.56,,,0.18,,,,,0.38,,,0.87,,,,,,0.27,,0.7
USH1G,-1.05,,,-0.07,,,,,-1.51,,,-0.14,,,,,,0.48,,-0.13
TNFSF15,-0.49,,,-0.25,,,,,-1.38,,,0.27,,,,,,0.09,,1.46
PRPF4,1.56,,,0.02,,,,,0.46,,,-4.35,,,,,,0.13,,-2.4
DCTN5,-1.54,-2.28,,-0.46,,,,,0.86,-2.08,,-3.01,,,,-0.57,,-0.15,1.01,-2.48
SMYD5,-0.19,,1.26,-0.62,,0.71,,,-0.05,,,0.52,,,,,,-0.88,,0.3
ARF6,-1.77,,,0.66,,,,,0.09,,,0.35,,,,,,-0.96,,-0.01
ZNF589,-2.28,,,0.65,,,,,0.97,,,0.33,,,,,,-0.63,,0.04
EFCAB13,0.44,,,-1.46,,,,,-0.25,,,0.14,,,,,,-0.25,,-0.51
IKBKB,0.24,1.02,,-0.11,,,,,0.65,1.13,,0.51,,,,0.62,,-0.15,0.29,0.76
MCM10,-2.45,,,0.26,,,,,0.89,,,-1.71,,,,,,-0.91,,-0.59
ZNRF4,-1.08,,,-2.39,,,,,-2.09,,,0.51,,,,,,0.97,,0.12
ZNF280A,-0.3,,,0.25,,,,,0.93,,,0.48,,,,,,0.25,,0.3
STK31,-1.13,,,2.09,,,,,0.81,,,0.3,,,,,,0.38,,0.76
UFD1,-1.41,,,-0.18,,,,,1.83,,,-2.15,,,,,,-1.09,,-2.37
GRWD1,0.49,,,1.61,,,,,2.59,,,-2.07,,,,,,-0.47,,-1.68
RGL4,1.22,,,-1.04,,,,,-0.83,,,0.25,,,,,,1.76,,-0.46
ZNF85,-0.94,,,1.15,,,,,0.22,,,-0.07,,,,,,0.69,,-0.45
NEBL,-0.73,,,-0.48,,,,,-0.31,,,0.54,,,,,,-0.48,,0.77
MYRFL,,,,1.04,,,,,-0.32,,,0.1,,,,,,0.49,,0.15
TOMM70,0.29,-0.06,,-1.65,,,,,-0.24,0.55,,-0.51,,,,-1.45,,-0.97,1.79,-0.61
WIPF2,-0.77,,,0.81,,,,,-1.75,,,-0.23,,,,,,0.59,,-0.02
WARS1,0.36,,,0.03,,,,,1.86,,,-1.92,,,,,,-0.45,,-2.06
FAM214A,0.93,,,,,,,,,,,,,,,,,-0.02,,1.06
MAST3,-1.23,,,-0.38,,,,,-0.53,,,-0.07,,,,,,-0.93,,0.49
FAHD1,0.61,,,1.34,,,,,-0.16,,,0.34,,,,,,-0.98,,0.75
CRTC3,1.15,,,-1.29,,,,,-0.31,,,0.71,,,,,,1.55,,0.56
C2orf15,-0.78,,,-0.6,,,,,0.24,,,0.23,,,,,,-0.0,,0.18
CHD3,-0.25,,0.51,0.72,,0.65,,,0.06,,,0.19,,,,,,-0.36,,1.39
LYPD5,-1.0,,,-0.37,,,,,-0.4,,,0.2,,,,,,0.78,,0.08
NANOG,0.51,,,-0.03,,,,,-0.88,,,0.76,,,,,,1.25,,-0.26
RRP7A,-0.56,,,1.32,,,,,-0.06,,,-2.8,,,,,,1.0,,-3.86
HEATR5A,-0.92,,,1.22,,,,,-0.11,,,0.33,,,,,,1.53,,-0.93
SNRNP70,0.18,,,0.29,,,,,1.57,,,-2.41,,,,,,0.76,,-2.11
NUP58,-0.52,,,0.12,,,,,1.18,,,-1.84,,,,,,-0.25,,-0.82
ANXA7,1.65,,,0.46,,,,,-0.47,,,0.04,,,,,,-0.6,,0.38
ZMYND12,-0.53,0.16,,0.09,,,,,-1.14,0.11,,0.46,,,,0.65,,-0.79,0.09,0.12
KRTAP10-10,0.52,,,0.68,,,,,-0.84,,,0.67,,,,,,-0.14,,0.76
SIN3B,1.43,,,-1.35,,,,,-1.53,,,-0.05,,,,,,1.01,,0.23
TRMT10A,1.61,,,-1.83,,,,,-0.39,,,0.2,,,,,,-0.86,,0.25
MSGN1,0.64,,,-1.06,,,,,1.1,,,0.3,,,,,,-0.29,,0.08
DKC1,0.84,-1.78,,3.73,,,,,2.34,-1.87,,-5.38,,,,1.19,,-0.83,0.89,-3.13
HACL1,0.7,,,0.2,,,,,1.08,,,0.35,,,,,,0.07,,0.05
GAR1,-0.34,,,1.35,,,,,1.96,,,-1.27,,,,,,0.62,,-0.88
